den;mes;hod;tep;rv;nap;td;avl;glb;dif;insol;rychvetru;smervetru;tlakvzduchu;
1;1;0;1.7;88.4;6.1;0;0.00481;0;0;0;2.6;120;990.5;
1;1;1;1.8;90;6.3;0.3;0.00496;0;0;0;2.7;120;990;
1;1;2;2;91.5;6.5;0.7;0.00512;0;0;0;2.7;110;989;
1;1;3;2.3;91.7;6.6;1.1;0.00519;0;0;0;0;000;988.1;
1;1;4;2.7;93.2;6.9;1.7;0.00542;0;0;0;1.1;140;987.2;
1;1;5;2.9;93.3;7;1.9;0.00549;0;0;0;0.9;120;986.5;
1;1;6;3.3;93.5;7.2;2.3;0.00564;0;0;0;1;360;986;
1;1;7;3.6;93.7;7.4;2.6;0.00579;0;0;0;0;000;985.3;
1;1;8;3.5;94.9;7.4;2.7;0.0058;0;0;0;0;000;985.3;
1;1;9;3.9;96.3;7.8;3.3;0.0061;0;0;0;0;000;985.9;
1;1;10;4.3;94;7.8;3.4;0.00609;26;26;0;0.9;360;986.3;
1;1;11;4.4;96.4;8.1;3.8;0.00632;63.1;63;0.1;0.9;360;986.4;
1;1;12;4.5;97.6;8.2;4.1;0.0064;69.1;69;0.1;0.9;360;986.2;
1;1;13;4.4;95.2;8;3.7;0.00625;37.1;37;0.1;0;000;986.2;
1;1;14;4.3;96.4;8;3.7;0.00625;26;26;0;5.9;170;986.6;
1;1;15;3.8;91.3;7.3;2.5;0.00571;11;11;0;3.9;270;987;
1;1;16;3.5;96.2;7.5;2.9;0.00587;6;6;0;3.9;270;987.1;
1;1;17;3.7;93.8;7.5;2.8;0.00587;0;0;0;1.9;240;987.6;
1;1;18;3;96.1;7.3;2.4;0.00573;0;0;0;3.9;270;987.7;
1;1;19;2.3;90.3;6.5;0.8;0.00511;0;0;0;1.9;230;987.8;
1;1;20;1.3;91;6.1;0;0.00482;0;0;0;0.9;150;987.6;
1;1;21;1.3;89.6;6;-0.3;0.00474;0;0;0;1.9;220;987.1;
1;1;22;0.7;93.8;6;-0.2;0.00475;0;0;0;0.9;240;987.3;
1;1;23;0.2;95.2;5.9;-0.5;0.00468;0;0;0;1.9;240;987.8;
2;1;0;0.1;95.2;5.9;-0.6;0.00468;0;0;0;0.9;120;988;
2;1;1;-0.1;93.4;5.7;-1.1;0.00452;0;0;0;0.9;150;988.2;
2;1;2;-0.2;93.3;5.6;-1.2;0.00445;0;0;0;1.9;140;988.3;
2;1;3;-0.6;96.6;5.6;-1.1;0.00445;0;0;0;1.9;120;988.3;
2;1;4;-0.3;91.7;5.5;-1.5;0.00437;0;0;0;1.9;140;988.6;
2;1;5;-0.8;94.8;5.5;-1.6;0.00438;0;0;0;1.9;100;988.2;
2;1;6;-0.9;91.2;5.2;-2.2;0.00414;0;0;0;0;000;988.1;
2;1;7;-0.8;91.4;5.3;-2.1;0.00422;0;0;0;0;000;987.9;
2;1;8;-0.1;88.5;5.4;-1.8;0.00429;0;0;0;0;000;987.4;
2;1;9;-0.3;91.7;5.5;-1.5;0.00437;19;19;0;0;000;987.2;
2;1;10;1;83.3;5.5;-1.6;0.00435;48.1;48;0.1;0.9;130;986.7;
