den;mes;hod;tep;rv;nap;td;avl;glb;dif;insol;rychvetru;smervetru;tlakvzduchu;
1;1;0;-5.3;92.3;3.6;-6.3;0.00291;0;0;0;4.4;290;950.6;
1;1;1;-4.9;92.9;3.9;-5.9;0.00315;0;0;0;4.9;290;951.3;
1;1;2;-5.2;92.3;3.6;-6.2;0.00291;0;0;0;3.7;320;951.8;
1;1;3;-6.7;88.6;3.1;-8.1;0.00252;0;0;0;2.3;020;952.1;
1;1;4;-8.1;90.3;2.8;-9.3;0.00229;0;0;0;1.8;020;952.6;
1;1;5;-8.6;93.1;2.7;-9.5;0.00221;0;0;0;2.3;110;953.4;
1;1;6;-7.8;90.6;2.9;-9;0.00237;0;0;0;2.1;110;954.2;
1;1;7;-10.2;88.5;2.3;-11.6;0.0019;0;0;0;2.9;110;954.2;
1;1;8;-9;92.9;2.6;-9.9;0.00213;0;0;0;2.9;130;954.2;
1;1;9;-8.1;90.3;2.8;-9.3;0.00229;17;17;0;2.9;120;953.7;
1;1;10;-8.2;93.3;2.8;-9;0.00229;51;51;0;2.9;110;954.2;
1;1;11;-6.7;91.4;3.2;-7.8;0.0026;187.1;106;81.1;2.9;130;953.6;
1;1;12;-5.8;89.5;3.4;-7.1;0.00276;307.1;61;246.1;3.9;130;952.2;
1;1;13;-4.9;88.1;3.7;-6.6;0.00299;307.1;61;246.1;3.9;130;952;
1;1;14;-4.3;88.6;3.9;-5.9;0.00314;259.1;55;204.1;4.9;140;951.2;
1;1;15;-4.6;88.4;3.8;-6.3;0.00307;87;73;14;5.9;130;950.3;
1;1;16;-4.5;86.4;3.8;-6.5;0.00306;17;17;0;6.9;130;950.3;
1;1;17;-4.7;88.4;3.8;-6.4;0.00307;0;0;0;7.9;140;949.9;
1;1;18;-4.9;83.3;3.5;-7.3;0.00283;0;0;0;6.9;130;949.7;
1;1;19;-4.7;88.4;3.8;-6.4;0.00307;0;0;0;7.9;130;949.2;
1;1;20;-4.3;90.9;4;-5.6;0.00322;0;0;0;8.9;140;949.1;
1;1;21;-4.5;88.6;3.9;-6.1;0.00315;0;0;0;9.9;130;948;
1;1;22;-4.5;88.6;3.9;-6.1;0.00315;0;0;0;7.9;130;948.3;
1;1;23;-4.2;86.7;3.9;-6.1;0.00314;0;0;0;7.9;130;948.2;
2;1;0;-3.9;84.8;3.9;-6.1;0.00314;0;0;0;8.9;140;948.2;
2;1;1;-3.9;84.8;3.9;-6.1;0.00314;0;0;0;7.9;140;947.8;
2;1;2;-3.9;87;4;-5.8;0.00322;0;0;0;7.9;140;947.6;
