den;mes;hod;tep;rv;nap;td;avl;glb;dif;insol;rychvetru;smervetru;tlakvzduchu;
1;1;0;-6.5;74.3;2.6;-9.9;0.00211;0;0;0;0;000;959.3;
1;1;1;-7.5;81.3;2.6;-9.9;0.00212;0;0;0;4;240;959.1;
1;1;2;-8.6;79.3;2.3;-11.3;0.00188;0;0;0;0;000;958.9;
1;1;3;-10;80.8;2.1;-12.4;0.00173;0;0;0;0;000;958.9;
1;1;4;-9.9;73.1;1.9;-13.4;0.00156;0;0;0;4.5;210;958.5;
1;1;5;-11;70.8;1.7;-14.8;0.00141;0;0;0;3.7;170;957.7;
1;1;6;-12.2;71.4;1.5;-15.9;0.00125;0;0;0;2.8;160;957.2;
1;1;7;-12.6;61.9;1.3;-17.8;0.00108;0;0;0;3.7;150;956.7;
1;1;8;-13.4;68.4;1.3;-17.5;0.00108;0;0;0;2.7;170;956.4;
1;1;9;-13.1;70;1.4;-17;0.00117;24;22;2;3.7;150;956.3;
1;1;10;-11.5;69.6;1.6;-15.5;0.00132;85;68;17;3.7;160;955.9;
1;1;11;-11.3;69.6;1.6;-15.3;0.00132;101.3;93;8.3;2.7;180;955.3;
1;1;12;-10.7;66.7;1.6;-15.2;0.00132;128.6;118;10.6;3.7;160;953.8;
1;1;13;-10.8;70.8;1.7;-14.7;0.0014;120.9;111;9.9;3.7;210;953.1;
1;1;14;-10.3;68;1.7;-14.6;0.0014;130.8;120;10.8;3.7;200;952.3;
1;1;15;-10.7;70.8;1.7;-14.6;0.0014;76.3;70;6.3;3.7;180;951.7;
1;1;16;-10.6;76;1.9;-13.7;0.00157;18.5;17;1.5;3.7;180;951;
1;1;17;-10.5;76;1.9;-13.6;0.00157;0;0;0;3.7;210;950.2;
1;1;18;-10.5;80;2;-13;0.00165;0;0;0;4.7;220;949.3;
1;1;19;-10;84.6;2.2;-11.9;0.00181;0;0;0;3.7;240;948;
1;1;20;-9.9;84.6;2.2;-11.8;0.00181;0;0;0;2.7;240;946.5;
1;1;21;-9.8;88.5;2.3;-11.2;0.00189;0;0;0;3.7;250;944.9;
1;1;22;-9.3;85.7;2.4;-11.1;0.00197;0;0;0;4.7;260;944.3;
1;1;23;-8.8;86.2;2.5;-10.5;0.00205;0;0;0;4.7;240;942.6;
2;1;0;-9.1;89.3;2.5;-10.4;0.00205;0;0;0;0;000;941.5;
2;1;1;-8.1;90.3;2.8;-9.3;0.00229;0;0;0;0;000;940.6;
2;1;2;-7.2;93.9;3.1;-8;0.00253;0;0;0;0;000;939.5;
2;1;3;-6.8;94.1;3.2;-7.5;0.0026;0;0;0;0;000;938.7;
2;1;4;-6.7;91.4;3.2;-7.8;0.0026;0;0;0;0;000;938.2;
2;1;5;-6.5;94.3;3.3;-7.2;0.00268;0;0;0;0;000;937.6;
2;1;6;-4.5;95.5;4.2;-5.2;0.00339;0;0;0;0;000;937.2;
2;1;7;-5.8;92.1;3.5;-6.8;0.00284;0;0;0;0;000;936.7;
2;1;8;-2.4;98;5;-2.7;0.004;0;0;0;0;000;937;
2;1;9;-1;98.2;5.6;-1.3;0.00446;17.4;16;1.4;0;000;937;
2;1;10;-0.5;98.3;5.8;-0.8;0.00461;79.5;73;6.5;0;000;937.2;
2;1;11;1;98.5;6.5;0.8;0.00514;117.7;108;9.7;2.7;260;936.6;
2;1;12;0.5;98.4;6.2;0.2;0.00491;132.9;122;10.9;3.7;180;935.8;
2;1;13;2.8;96;7.2;2.2;0.00565;78.5;72;6.5;2.7;240;935;
2;1;14;3.6;96.2;7.6;3;0.00595;38.1;35;3.1;2.7;200;934.1;
2;1;15;3.6;100;7.9;3.6;0.00619;19.6;18;1.6;0;000;932.3;
2;1;16;3.5;100;7.9;3.5;0.00619;9.8;9;0.8;0;000;931;
2;1;17;3.1;98.7;7.5;2.9;0.00588;0;0;0;0;000;930;
2;1;18;3.4;98.7;7.7;3.2;0.00603;0;0;0;2.7;170;929.5;
2;1;19;3.3;100;7.8;3.3;0.00611;0;0;0;0;000;928.8;
2;1;20;4;100;8.1;4;0.00633;0;0;0;0;000;928.7;
2;1;21;3.7;100;8;3.7;0.00626;0;0;0;3.7;220;928.6;
2;1;22;3.9;98.8;8;3.7;0.00626;0;0;0;0;000;927.7;
2;1;23;4.7;100;8.6;4.7;0.00671;0;0;0;2.7;230;927.4;
3;1;0;4.9;100;8.7;4.9;0.00678;0;0;0;2.7;240;927.7;
3;1;1;4.3;100;8.3;4.3;0.00648;0;0;0;4.7;230;928.1;
3;1;2;4.1;100;8.2;4.1;0.00641;0;0;0;5.7;240;929;
3;1;3;4;100;8.1;4;0.00633;0;0;0;8.7;240;929.9;
3;1;4;5.4;84.4;7.6;3;0.00591;0;0;0;11.7;240;930.5;
3;1;5;5.1;84.1;7.4;2.6;0.00576;0;0;0;10.7;240;931;
3;1;6;4.8;83.7;7.2;2.2;0.00561;0;0;0;10.7;240;931.9;
3;1;7;4.8;82.6;7.1;2.1;0.00553;0;0;0;11.7;250;933;
3;1;8;4.1;87.8;7.2;2.2;0.00563;0;0;0;8.7;260;934.3;
3;1;9;4.2;86.6;7.1;2.1;0.00555;5.4;5;0.4;7.7;250;935.7;
3;1;10;5.3;79.8;7.1;2.1;0.00552;57.7;53;4.7;11.7;260;936.5;
3;1;11;5.9;74.2;6.9;1.6;0.00536;64.3;59;5.3;8.7;250;937.6;
3;1;12;6.2;71.6;6.8;1.4;0.00527;134;117;17;10.7;260;938;
3;1;13;5.1;85.2;7.5;2.8;0.00584;139.5;115;24.5;6.7;260;938.6;
3;1;14;4.4;94;7.9;3.5;0.00617;89.3;82;7.3;5.7;250;938.9;
3;1;15;4.4;92.9;7.8;3.3;0.00609;63.2;58;5.2;5.7;260;939.3;
3;1;16;4.1;91.5;7.5;2.8;0.00586;19.6;18;1.6;4.7;240;939.6;
3;1;17;4.2;87.8;7.2;2.3;0.00562;0;0;0;4.7;220;939.9;
3;1;18;4.6;84.7;7.2;2.2;0.00562;0;0;0;6.7;230;939.9;
3;1;19;4.6;84.7;7.2;2.2;0.00562;0;0;0;6.7;240;939.8;
3;1;20;3.7;88.8;7.1;2;0.00556;0;0;0;3.7;240;939.8;
3;1;21;4;88.9;7.2;2.3;0.00563;0;0;0;3.7;260;939.8;
3;1;22;3.9;88.9;7.2;2.2;0.00563;0;0;0;4.7;250;939.4;
3;1;23;3.8;91.3;7.3;2.5;0.00571;0;0;0;3.7;240;939.4;
4;1;0;3.4;93.6;7.3;2.4;0.00572;0;0;0;0;000;939.2;
4;1;1;3.8;90;7.2;2.3;0.00563;0;0;0;0;000;939.1;
4;1;2;3.4;93.6;7.3;2.4;0.00572;0;0;0;2.7;220;939;
4;1;3;3.2;93.5;7.2;2.2;0.00565;0;0;0;3.7;230;939.2;
4;1;4;2.8;96;7.2;2.2;0.00565;0;0;0;0;000;939.3;
4;1;5;2.8;96;7.2;2.2;0.00565;0;0;0;0;000;939.5;
4;1;6;0.5;92.1;5.8;-0.7;0.00459;0;0;0;8.7;290;940.4;
4;1;7;0.2;88.7;5.5;-1.5;0.00436;0;0;0;3.7;060;941.4;
4;1;8;-0.8;87.9;5.1;-2.6;0.00406;0;0;0;5.7;040;942.3;
4;1;9;-1.2;91.1;5.1;-2.5;0.00406;15.3;14;1.3;5.7;040;943.4;
4;1;10;-2;88.7;4.7;-3.7;0.00376;29.4;27;2.4;4.7;040;944.2;
4;1;11;-2.5;94.1;4.8;-3.4;0.00384;26.2;24;2.2;5.7;040;945;
4;1;12;-2.8;92;4.6;-4;0.00369;86.1;79;7.1;5.7;020;944.9;
4;1;13;-2.9;89.8;4.4;-4.4;0.00353;117.7;108;9.7;5.7;320;945.4;
4;1;14;-3.3;89.6;4.3;-4.8;0.00345;50.1;46;4.1;5.7;030;945.7;
4;1;15;-3.7;87;4;-5.6;0.00322;32.7;30;2.7;5.7;040;946.6;
4;1;16;-4.1;82.2;3.7;-6.7;0.00298;14.2;13;1.2;5.7;040;947.2;
4;1;17;-4.3;81.8;3.6;-7;0.0029;0;0;0;5.7;040;947.2;
4;1;18;-4.8;79.1;3.4;-7.9;0.00275;0;0;0;4.7;050;947.6;
4;1;19;-5.5;89.5;3.4;-6.8;0.00275;0;0;0;3.7;050;948;
4;1;20;-6.4;83.3;3;-8.5;0.00244;0;0;0;4.7;080;948.3;
4;1;21;-6.6;80;2.8;-9.2;0.00228;0;0;0;8.7;050;948.1;
4;1;22;-6.9;82.4;2.8;-9.2;0.00228;0;0;0;5.7;060;948.6;
4;1;23;-7.2;81.8;2.7;-9.5;0.0022;0;0;0;7.7;050;948.8;
5;1;0;-7.6;81.3;2.6;-10;0.00212;0;0;0;5.7;040;949.3;
5;1;1;-7.8;81.3;2.6;-10.2;0.00212;0;0;0;6.7;050;949.7;
5;1;2;-7.7;81.3;2.6;-10.1;0.00212;0;0;0;4.7;050;950.1;
5;1;3;-8.1;80.6;2.5;-10.6;0.00204;0;0;0;4.7;040;950.6;
5;1;4;-7.7;84.4;2.7;-9.7;0.0022;0;0;0;6.7;040;950.4;
5;1;5;-7.5;84.4;2.7;-9.5;0.0022;0;0;0;4.7;040;950.6;
5;1;6;-6.5;80;2.8;-9.1;0.00228;0;0;0;4.7;030;950.9;
5;1;7;-6.8;82.4;2.8;-9.1;0.00228;0;0;0;6.7;010;951.2;
5;1;8;-7.4;78.8;2.6;-10.2;0.00212;0;0;0;5.7;010;951.6;
5;1;9;-7.3;78.8;2.6;-10.1;0.00212;17.4;16;1.4;4.7;020;952.1;
5;1;10;-7.5;78.1;2.5;-10.4;0.00204;67.6;60;7.6;5.7;010;951.9;
5;1;11;-7.2;75.8;2.5;-10.4;0.00204;158;119;39;4.7;040;951.8;
5;1;12;-6.5;65.7;2.3;-11.3;0.00187;222.3;121;101.3;4.7;030;951.5;
5;1;13;-6.3;66.7;2.4;-11;0.00195;273.5;124;149.5;5.7;030;951.1;
5;1;14;-6.2;66.7;2.4;-10.9;0.00195;222.3;104;118.3;4.7;020;950.9;
5;1;15;-7.3;66.7;2.2;-11.9;0.00179;87.2;73;14.2;4.7;320;951.1;
5;1;16;-8.3;73.3;2.2;-11.8;0.0018;27.2;25;2.2;3.7;040;950.9;
5;1;17;-8.5;70;2.1;-12.5;0.00172;0;0;0;0;000;950.8;
5;1;18;-8.5;70;2.1;-12.5;0.00172;0;0;0;2.7;080;950.7;
5;1;19;-8.8;72.4;2.1;-12.5;0.00172;0;0;0;0;000;950.7;
5;1;20;-9.4;77.8;2.1;-12.3;0.00173;0;0;0;0;000;950.7;
5;1;21;-9.7;77.8;2.1;-12.5;0.00173;0;0;0;0;000;950.5;
5;1;22;-9.2;75;2.1;-12.5;0.00172;0;0;0;2.7;140;950.2;
5;1;23;-9.5;85.2;2.3;-11.3;0.00189;0;0;0;2.7;130;950;
6;1;0;-9.7;85.2;2.3;-11.5;0.00189;0;0;0;1.7;110;949.6;
6;1;1;-9.6;85.2;2.3;-11.4;0.00189;0;0;0;0;000;949.7;
6;1;2;-9;82.1;2.3;-11.3;0.00189;0;0;0;2.7;140;949.8;
6;1;3;-9;85.7;2.4;-10.8;0.00197;0;0;0;2.7;140;950;
6;1;4;-8.6;82.8;2.4;-10.8;0.00197;0;0;0;0;000;950;
6;1;5;-8.3;83.3;2.5;-10.4;0.00205;0;0;0;0;000;949.8;
6;1;6;-8.2;86.7;2.6;-9.9;0.00213;0;0;0;0;000;949.6;
6;1;7;-8.5;90;2.7;-9.7;0.00221;0;0;0;2.7;170;949.9;
6;1;8;-8.1;87.1;2.7;-9.7;0.00221;0;0;0;0;000;950.2;
6;1;9;-7.6;87.5;2.8;-9.2;0.00228;28.3;26;2.3;0;000;950.7;
6;1;10;-7;85.3;2.9;-8.9;0.00236;67.6;62;5.6;0;000;950.9;
6;1;11;-6.8;88.2;3;-8.3;0.00244;89.3;82;7.3;0;000;951.3;
6;1;12;-6.2;83.3;3;-8.3;0.00244;110;101;9;0;000;951.5;
6;1;13;-5.8;81.6;3.1;-8.2;0.00251;125.3;115;10.3;0;000;951.2;
6;1;14;-5.5;92.1;3.5;-6.5;0.00283;94.8;87;7.8;0;000;951.4;
6;1;15;-5.9;89.2;3.3;-7.3;0.00268;51.2;47;4.2;0;000;951.9;
6;1;16;-5.8;89.5;3.4;-7.1;0.00276;16.3;15;1.3;1.7;100;952.5;
6;1;17;-6;89.2;3.3;-7.4;0.00268;0;0;0;2.7;070;952.7;
6;1;18;-6;89.2;3.3;-7.4;0.00268;0;0;0;1.7;080;953.4;
6;1;19;-6;89.2;3.3;-7.4;0.00268;0;0;0;1.7;080;954;
6;1;20;-6.2;91.7;3.3;-7.2;0.00268;0;0;0;3.7;080;954.4;
6;1;21;-6.5;88.6;3.1;-7.9;0.00252;0;0;0;3.7;060;954.6;
6;1;22;-6.7;88.6;3.1;-8.1;0.00252;0;0;0;4.7;040;955;
6;1;23;-6.6;85.7;3;-8.4;0.00244;0;0;0;3.7;050;955.2;
7;1;0;-7;85.3;2.9;-8.9;0.00236;0;0;0;0;000;955.6;
7;1;1;-7.7;84.4;2.7;-9.7;0.0022;0;0;0;3.7;070;955.7;
7;1;2;-7.9;87.1;2.7;-9.5;0.00221;0;0;0;3.7;060;956.1;
7;1;3;-8.2;83.3;2.5;-10.3;0.00204;0;0;0;4.7;050;956.3;
7;1;4;-8.7;86.2;2.5;-10.4;0.00205;0;0;0;5.7;050;956.3;
7;1;5;-9.7;88.9;2.4;-11.1;0.00197;0;0;0;4.7;010;956.1;
7;1;6;-10.3;88;2.2;-11.8;0.00181;0;0;0;7.7;040;956.1;
7;1;7;-11;87.5;2.1;-12.5;0.00174;0;0;0;5.7;040;956.5;
7;1;8;-11.9;81.8;1.8;-14.2;0.00149;0;0;0;5.7;030;957.2;
7;1;9;-12.9;80;1.6;-15.4;0.00133;15.3;14;1.3;5.7;040;958;
7;1;10;-13.2;73.7;1.4;-16.6;0.00117;99.2;87;12.2;5.7;050;958;
7;1;11;-12.8;70;1.4;-16.7;0.00117;176.5;92;84.5;6.7;050;957.1;
7;1;12;-12.2;71.4;1.5;-15.9;0.00125;276.8;88;188.8;6.7;040;955.9;
7;1;13;-12.3;71.4;1.5;-16;0.00125;255;86;169;10.7;040;955.1;
7;1;14;-12.4;71.4;1.5;-16.1;0.00125;183.1;103;80.1;7.7;050;954.9;
7;1;15;-12.6;71.4;1.5;-16.3;0.00125;101.3;93;8.3;6.7;040;956.3;
7;1;16;-12.7;75;1.5;-15.9;0.00125;33.8;31;2.8;6.7;040;956.4;
7;1;17;-12.6;76.2;1.6;-15.6;0.00133;1.1;1;0.1;8.7;040;956.5;
7;1;18;-12.5;76.2;1.6;-15.5;0.00133;0;0;0;8.7;040;956.6;
7;1;19;-12.8;75;1.5;-16;0.00125;0;0;0;7.7;040;956.8;
7;1;20;-12.9;80;1.6;-15.4;0.00133;0;0;0;5.7;050;956.7;
7;1;21;-13;75;1.5;-16.2;0.00125;0;0;0;5.7;040;956.7;
7;1;22;-13.2;73.7;1.4;-16.6;0.00117;0;0;0;5.7;040;956.8;
7;1;23;-13.3;73.7;1.4;-16.7;0.00117;0;0;0;3.7;040;956.5;
8;1;0;-13.5;73.7;1.4;-16.8;0.00117;0;0;0;3.7;050;956.3;
8;1;1;-13.4;73.7;1.4;-16.8;0.00117;0;0;0;4.7;040;956.3;
8;1;2;-13.4;68.4;1.3;-17.5;0.00108;0;0;0;3.7;040;956.5;
8;1;3;-13.6;68.4;1.3;-17.7;0.00109;0;0;0;4.7;050;956.5;
8;1;4;-13.8;66.7;1.2;-18.2;0.001;0;0;0;4.7;050;956.7;
8;1;5;-13.8;72.2;1.3;-17.4;0.00109;0;0;0;3.7;040;956.7;
8;1;6;-14.1;72.2;1.3;-17.7;0.00109;0;0;0;3.7;050;956.7;
8;1;7;-14.5;70.6;1.2;-18.3;0.00101;0;0;0;0;000;956.7;
8;1;8;-14.4;70.6;1.2;-18.2;0.001;1.1;1;0.1;5.7;060;956.7;
8;1;9;-13.9;66.7;1.2;-18.3;0.001;32.7;30;2.7;5.7;060;957;
8;1;10;-13;55;1.1;-19.5;0.00092;93.7;86;7.7;4.7;060;957.5;
8;1;11;-12.5;47.6;1;-20.5;0.00083;126.4;116;10.4;3.7;060;957.4;
8;1;12;-11.5;47.8;1.1;-19.5;0.00091;172.2;133;39.2;3.7;070;957.4;
8;1;13;-10.4;48;1.2;-18.4;0.00099;278.9;102;176.9;3.7;080;957.4;
8;1;14;-9.9;53.8;1.4;-16.8;0.00115;273.5;113;160.5;4.7;060;957.2;
8;1;15;-10.1;57.7;1.5;-16.2;0.00124;178.7;81;97.7;4.7;060;957.5;
8;1;16;-10.8;58.3;1.4;-16.8;0.00116;71.9;59;12.9;3.7;060;957.6;
8;1;17;-11.3;52.2;1.2;-18.4;0.00099;3.3;3;0.3;3.7;060;957.9;
8;1;18;-11.5;52.2;1.2;-18.6;0.00099;0;0;0;3.7;060;958.2;
