den;mes;hod;tep;rv;nap;td;avl;glb;dif;insol;rychvetru;smervetru;tlakvzduchu;
1;1;0;0.8;93.8;6.1;-0.1;0.00482;0;0;0;3.6;160;971.1;
1;1;1;1.1;97;6.4;0.6;0.00506;0;0;0;4.1;150;970.1;
1;1;2;1.3;97;6.5;0.8;0.00513;0;0;0;3.4;160;969.3;
1;1;3;1.7;97.1;6.7;1.3;0.00528;0;0;0;3.5;180;968.5;
1;1;4;2.4;97.3;7.1;2;0.00558;0;0;0;4.7;210;967.6;
1;1;5;3.2;96.1;7.4;2.6;0.0058;0;0;0;4;220;967.1;
1;1;6;3.7;95;7.6;2.9;0.00595;0;0;0;5;210;966.7;
1;1;7;4.1;95.1;7.8;3.3;0.0061;0;0;0;6.1;210;966.4;
1;1;8;4.2;93.9;7.7;3.3;0.00602;0;0;0;4.1;220;966.8;
1;1;9;4.2;93.9;7.7;3.3;0.00602;7;7;0;5.1;230;967.1;
1;1;10;4.3;91.6;7.6;3;0.00594;26;26;0;5.1;230;967.5;
1;1;11;4.3;92.8;7.7;3.2;0.00601;43;43;0;4.1;240;967.7;
1;1;12;4;92.6;7.5;2.9;0.00586;52;52;0;6.1;280;967.9;
1;1;13;4.1;89;7.3;2.4;0.00571;52;52;0;6.1;290;968.1;
1;1;14;4.2;84.1;6.9;1.7;0.00539;43;43;0;6.1;290;968.8;
1;1;15;4.1;78;6.4;0.6;0.005;56;56;0;6.1;280;969.6;
1;1;16;2.9;70.7;5.3;-1.9;0.00416;10;10;0;5.1;290;970.3;
1;1;17;1.1;83.3;5.5;-1.5;0.00435;0;0;0;3.1;240;970.6;
1;1;18;1.3;89.6;6;-0.3;0.00474;0;0;0;8.1;230;971.1;
1;1;19;1.5;86.8;5.9;-0.5;0.00465;0;0;0;7.1;220;971.6;
1;1;20;1;80.3;5.3;-2.1;0.00419;0;0;0;7.1;220;971.6;
1;1;21;0.8;84.6;5.5;-1.5;0.00435;0;0;0;8.1;210;971.8;
