den;mes;hod;tep;rv;nap;td;avl;glb;dif;insol;rychvetru;smervetru;tlakvzduchu;
1;1;0;-6.2;72.2;2.6;-10;0.00211;0;0;0;1.4;350;1000.8;
1;1;1;-7.1;67.6;2.3;-11.6;0.00187;0;0;0;2.5;020;999.5;
1;1;2;-7.6;68.8;2.2;-11.9;0.0018;0;0;0;0;000;998.1;
1;1;3;-8.6;69;2;-12.8;0.00164;0;0;0;0;000;997;
1;1;4;-9.6;74.1;2;-13;0.00164;0;0;0;0;000;995.7;
1;1;5;-10.6;68;1.7;-14.9;0.0014;0;0;0;2;060;994.2;
1;1;6;-11.2;73.9;1.7;-14.6;0.00141;0;0;0;2.8;070;992.9;
1;1;7;-12;77.3;1.7;-14.9;0.00141;0;0;0;2.9;070;991.8;
1;1;8;-12.3;76.2;1.6;-15.3;0.00133;0;0;0;1.9;080;992;
1;1;9;-11.5;73.9;1.7;-14.9;0.00141;39.1;25;14.1;1.9;080;992.1;
1;1;10;-10.4;72;1.8;-14.1;0.00148;165.3;28;137.3;1.9;060;992;
1;1;11;-9.3;67.9;1.9;-13.7;0.00156;250.4;34;216.4;0;000;991.2;
1;1;12;-7.5;56.3;1.8;-14;0.00147;296.5;37;259.5;0;000;990.6;
1;1;13;-7.7;59.4;1.9;-13.6;0.00155;296.5;37;259.5;0;000;989.5;
1;1;14;-7.1;58.8;2;-13.1;0.00163;250.4;34;216.4;0;000;989.1;
1;1;15;-7.1;64.7;2.2;-12.1;0.00179;107.2;67;40.2;0;000;988.7;
1;1;16;-6.9;70.6;2.4;-10.9;0.00195;17;17;0;0;000;988.1;
1;1;17;-6.5;68.6;2.4;-10.8;0.00195;0;0;0;0;000;988.1;
1;1;18;-6;73;2.7;-9.6;0.00219;0;0;0;3.9;090;986.8;
1;1;19;-5.2;69.2;2.7;-9.5;0.00218;0;0;0;0;000;987.3;
1;1;20;-4.6;79.1;3.4;-7.7;0.00274;0;0;0;2.9;060;986.1;
1;1;21;-3.6;76.6;3.6;-7.2;0.00289;0;0;0;1.9;130;985.1;
1;1;22;-2.6;86;4.3;-4.7;0.00344;0;0;0;2.9;130;983.6;
1;1;23;-3.1;85.7;4.2;-5.2;0.00337;0;0;0;4.9;150;983;
2;1;0;-3;87.8;4.3;-4.8;0.00345;0;0;0;2.9;140;981.8;
2;1;1;-2.8;88;4.4;-4.6;0.00353;0;0;0;3.9;140;981.1;
2;1;2;-2.5;92.2;4.7;-3.6;0.00376;0;0;0;3.9;140;980.2;
2;1;3;-2.1;96.2;5;-2.7;0.004;0;0;0;4.9;160;979.3;
2;1;4;-1.6;94.4;5.1;-2.4;0.00407;0;0;0;5.9;160;978.1;
2;1;5;-1.2;94.6;5.3;-2;0.00422;0;0;0;5.9;160;977.6;
2;1;6;-1.4;94.5;5.2;-2.2;0.00415;0;0;0;3.9;140;976.7;
2;1;7;-1.7;94.4;5.1;-2.5;0.00407;0;0;0;2.9;140;976.8;
2;1;8;-1.6;96.3;5.2;-2.2;0.00415;0;0;0;2.9;140;976.7;
2;1;9;-1.6;96.3;5.2;-2.2;0.00415;10;10;0;3.9;150;976.4;
2;1;10;-1.4;94.5;5.2;-2.2;0.00415;33.1;33;0.1;3.9;150;976;
2;1;11;-1;94.7;5.4;-1.8;0.0043;52.1;52;0.1;3.9;160;975.7;
2;1;12;-0.8;94.8;5.5;-1.6;0.00438;63.1;63;0.1;2.9;150;975;
2;1;13;-0.7;94.8;5.5;-1.5;0.00437;63.1;63;0.1;2.9;130;974.1;
2;1;14;-0.8;93.1;5.4;-1.8;0.0043;52.1;52;0.1;1.9;130;973.3;
2;1;15;-0.8;93.1;5.4;-1.8;0.0043;33.1;33;0.1;2.9;150;972.7;
2;1;16;-0.7;96.6;5.6;-1.2;0.00445;10;10;0;2.9;150;971.4;
2;1;17;-0.5;96.6;5.7;-1;0.00453;0;0;0;0;000;970.9;
2;1;18;-0.3;96.7;5.8;-0.8;0.00461;0;0;0;0;000;969.8;
2;1;19;-0.1;96.7;5.9;-0.6;0.00468;0;0;0;1.9;160;969.2;
2;1;20;-0.1;96.7;5.9;-0.6;0.00468;0;0;0;0;000;968.5;
2;1;21;0.4;95.2;6;-0.3;0.00475;0;0;0;1.9;180;968;
2;1;22;0.3;96.8;6;-0.2;0.00475;0;0;0;0;000;966.3;
2;1;23;0.4;96.8;6.1;-0.1;0.00483;0;0;0;1.9;170;966.1;
3;1;0;0.8;95.4;6.2;0.1;0.0049;0;0;0;0;000;965.4;
3;1;1;1.3;97;6.5;0.8;0.00513;0;0;0;0;000;964.8;
3;1;2;1.4;95.6;6.5;0.7;0.00513;0;0;0;0;000;965.3;
3;1;3;3.5;97.4;7.6;3.1;0.00595;0;0;0;6.9;250;965.8;
3;1;4;5.5;81.1;7.3;2.5;0.00568;0;0;0;3.9;250;965.8;
3;1;5;5.4;78.9;7.1;2;0.00552;0;0;0;3.9;250;965.8;
3;1;6;6.1;73.4;6.9;1.7;0.00535;0;0;0;5.9;240;966.4;
3;1;7;6.8;67.7;6.7;1.2;0.00519;0;0;0;6.9;250;967.3;
3;1;8;6.3;69.5;6.6;1.1;0.00512;0;0;0;5.9;230;968.1;
3;1;9;5.5;75.6;6.8;1.5;0.00529;15;15;0;5.9;230;969;
3;1;10;5.3;78.7;7;1.9;0.00545;45.1;45;0.1;5.9;230;970;
3;1;11;5.3;83.1;7.4;2.6;0.00576;69.1;69;0.1;4.9;250;970.6;
3;1;12;6.3;75.8;7.2;2.3;0.00558;120.2;109;11.2;5.9;250;970.9;
3;1;13;7;72;7.2;2.3;0.00557;139.2;117;22.2;7.9;270;971.4;
3;1;14;7.2;71.6;7.3;2.4;0.00564;117.2;100;17.2;6.9;260;972;
3;1;15;7.4;69.9;7.2;2.3;0.00556;77.1;68;9.1;5.9;260;972.8;
3;1;16;6.5;75.3;7.3;2.4;0.00566;22;22;0;5.9;260;973.5;
3;1;17;6.5;74.2;7.2;2.2;0.00558;0;0;0;4.9;250;974;
3;1;18;6.1;74.5;7;1.9;0.00543;0;0;0;3.9;260;974.5;
3;1;19;3.8;82.5;6.6;1.1;0.00516;0;0;0;2.9;220;974.7;
3;1;20;3.5;84.6;6.6;1.1;0.00517;0;0;0;1.9;230;974.6;
3;1;21;3.3;84.4;6.5;0.9;0.00509;0;0;0;1.9;210;974.6;
3;1;22;1.5;89.7;6.1;0;0.00481;0;0;0;0.9;160;974.9;
3;1;23;1.7;89.9;6.2;0.2;0.00489;0;0;0;0.9;080;975;
4;1;0;2.9;84;6.3;0.4;0.00494;0;0;0;0.9;060;974.6;
4;1;1;1.2;88.1;5.9;-0.6;0.00466;0;0;0;0.9;080;974.3;
4;1;2;1.7;92.8;6.4;0.6;0.00505;0;0;0;0.9;050;974;
4;1;3;1.3;97;6.5;0.8;0.00513;0;0;0;0;000;973.9;
4;1;4;2.1;97.2;6.9;1.7;0.00543;0;0;0;1.9;030;973.2;
4;1;5;2.6;95.9;7.1;2;0.00558;0;0;0;0.9;050;972.6;
4;1;6;2.1;97.2;6.9;1.7;0.00543;0;0;0;0.9;030;972.4;
4;1;7;2.3;97.2;7;1.9;0.00551;0;0;0;0;000;973;
4;1;8;2;97.2;6.9;1.6;0.00543;0;0;0;0;000;973.8;
4;1;9;2;98.6;7;1.8;0.00551;15;15;0;0;000;974.3;
4;1;10;2.1;98.6;7;1.9;0.00551;45.1;45;0.1;0.9;200;974.8;
4;1;11;2.3;97.2;7;1.9;0.00551;69.1;69;0.1;0.9;200;975;
4;1;12;3.7;96.3;7.7;3.1;0.00603;158.3;122;36.3;1.9;200;975.2;
4;1;13;4.1;93.9;7.7;3.2;0.00602;158.3;122;36.3;0;000;975.2;
4;1;14;4.8;86;7.4;2.6;0.00577;181.3;100;81.3;3.9;310;975.8;
4;1;15;4.3;83.1;6.9;1.7;0.00539;66.1;62;4.1;2.9;330;976.3;
4;1;16;4;79;6.4;0.7;0.005;15;15;0;3.9;360;977.1;
4;1;17;3.1;78.9;6;-0.2;0.00471;0;0;0;2.9;030;977.5;
4;1;18;0.8;92.3;6;-0.3;0.00475;0;0;0;4.9;070;978;
4;1;19;0.2;90.3;5.6;-1.2;0.00444;0;0;0;5.9;060;978;
4;1;20;-0.3;90;5.4;-1.8;0.00429;0;0;0;6.9;060;978.6;
4;1;21;-1.2;91.1;5.1;-2.5;0.00406;0;0;0;7.9;060;978.9;
4;1;22;-1.4;87.3;4.8;-3.3;0.00383;0;0;0;7.9;060;979.3;
4;1;23;-1.6;88.9;4.8;-3.2;0.00383;0;0;0;8.9;060;979.2;
5;1;0;-1.8;85.2;4.6;-4;0.00367;0;0;0;6.9;050;979;
5;1;1;-2;81.1;4.3;-4.9;0.00344;0;0;0;5.9;060;979.7;
5;1;2;-2.6;80;4;-5.6;0.0032;0;0;0;4.9;050;980.4;
5;1;3;-2.8;76;3.8;-6.5;0.00305;0;0;0;4.9;050;980.9;
5;1;4;-3.1;75.5;3.7;-6.9;0.00297;0;0;0;4.9;040;980.8;
5;1;5;-3.6;68.1;3.2;-8.7;0.00257;0;0;0;4.9;030;981.1;
5;1;6;-3.8;69.6;3.2;-8.6;0.00257;0;0;0;4.9;020;981.4;
5;1;7;-3.9;63;2.9;-10;0.00233;0;0;0;5.9;020;981.9;
5;1;8;-4.4;61.4;2.7;-10.8;0.00218;0;0;0;4.9;020;982.7;
5;1;9;-4.6;60.5;2.6;-11.2;0.0021;26;26;0;4.9;010;983.3;
5;1;10;-4.3;63.6;2.8;-10.2;0.00226;141.2;87;54.2;5.9;020;983.2;
5;1;11;-3.5;55.3;2.6;-11.3;0.00209;230.4;115;115.4;4.9;020;983.2;
5;1;12;-2.7;58;2.9;-9.9;0.00232;341.6;77;264.6;6.9;020;982.9;
5;1;13;-2.6;56;2.8;-10.3;0.00224;270.5;132;138.5;3.9;010;982.7;
5;1;14;-2.8;56;2.8;-10.4;0.00224;87.1;87;0.1;4.9;010;982.5;
5;1;15;-3.3;62.5;3;-9.5;0.00241;59.1;59;0.1;4.9;020;983;
5;1;16;-3.6;66;3.1;-9.1;0.00249;22;22;0;2.9;040;983.3;
5;1;17;-4.6;72.1;3.1;-8.9;0.0025;0;0;0;4.9;070;983.5;
5;1;18;-5.7;78.9;3;-8.5;0.00243;0;0;0;4.9;060;983.6;
5;1;19;-6.1;75.7;2.8;-9.3;0.00227;0;0;0;2.9;030;983.8;
5;1;20;-6.2;77.8;2.8;-9.1;0.00227;0;0;0;2.9;040;984.1;
5;1;21;-6.2;77.8;2.8;-9.1;0.00227;0;0;0;2.9;050;984;
5;1;22;-6.1;75.7;2.8;-9.3;0.00227;0;0;0;3.9;060;984;
5;1;23;-5.8;76.3;2.9;-9;0.00235;0;0;0;2.9;070;983.7;
6;1;0;-5.6;78.9;3;-8.4;0.00243;0;0;0;0;000;983.6;
6;1;1;-5.5;76.3;2.9;-8.7;0.00235;0;0;0;0;000;983.6;
6;1;2;-5.2;76.9;3;-8.3;0.00243;0;0;0;1.9;010;984;
6;1;3;-6.1;75.7;2.8;-9.3;0.00227;0;0;0;2.9;080;984.4;
6;1;4;-5.8;68.4;2.6;-10.2;0.00211;0;0;0;2.9;020;984.4;
6;1;5;-5.5;65.8;2.5;-10.3;0.00202;0;0;0;3.9;350;984.3;
6;1;6;-5.9;64.9;2.4;-10.9;0.00195;0;0;0;2.9;320;984.4;
6;1;7;-6.3;66.7;2.4;-11;0.00195;0;0;0;3.9;340;984.7;
6;1;8;-6.7;68.6;2.4;-11;0.00195;0;0;0;1.9;040;985.3;
6;1;9;-7.1;76.5;2.6;-10.2;0.00212;49.1;27;22.1;1.9;090;986.1;
6;1;10;-7;73.5;2.5;-10.5;0.00204;175.3;29;146.3;2.9;080;986.4;
6;1;11;-6.1;70.3;2.6;-10.2;0.00211;262.4;36;226.4;1.9;080;986.3;
6;1;12;-5.3;66.7;2.6;-10;0.0021;308.5;39;269.5;0;000;986.4;
6;1;13;-4.6;69.8;3;-9.3;0.00242;308.5;39;269.5;0;000;986.2;
6;1;14;-4.2;68.9;3.1;-9.1;0.0025;244.4;56;188.4;0;000;986.1;
6;1;15;-4.8;72.1;3.1;-9.1;0.0025;163.3;42;121.3;2.9;080;986.1;
6;1;16;-5.5;76.3;2.9;-8.7;0.00235;19;19;0;2.9;060;986.7;
6;1;17;-6;75.7;2.8;-9.2;0.00227;0;0;0;2.9;060;987.1;
6;1;18;-6.7;80;2.8;-9.3;0.00228;0;0;0;1.9;070;987.7;
6;1;19;-6.7;74.3;2.6;-10.1;0.00211;0;0;0;2.9;050;987.7;
6;1;20;-6.8;76.5;2.6;-9.9;0.00212;0;0;0;2.9;060;988.1;
6;1;21;-7.3;75.8;2.5;-10.5;0.00204;0;0;0;2.9;080;988.7;
6;1;22;-7.4;72.7;2.4;-11.1;0.00196;0;0;0;3.9;040;988.9;
6;1;23;-7.4;75.8;2.5;-10.6;0.00204;0;0;0;3.9;070;988.8;
7;1;0;-7.4;75.8;2.5;-10.6;0.00204;0;0;0;3.9;050;988.6;
7;1;1;-7.4;75.8;2.5;-10.6;0.00204;0;0;0;3.9;050;988.4;
7;1;2;-7.8;78.1;2.5;-10.6;0.00204;0;0;0;3.9;060;988.9;
7;1;3;-8.1;77.4;2.4;-11;0.00196;0;0;0;1.9;030;988.3;
7;1;4;-7.7;75;2.4;-11;0.00196;0;0;0;2.9;050;987.7;
