den;mes;hod;tep;rv;nap;td;avl;glb;dif;insol;rychvetru;smervetru;tlakvzduchu;
1;1;0;-5.2;79.5;3.1;-7.9;0.00251;0;0;0;4.8;030;994.1;
1;1;1;-7;79.4;2.7;-9.7;0.0022;0;0;0;4;030;993.9;
1;1;2;-8.5;80;2.4;-11.1;0.00196;0;0;0;3.1;030;993.8;
1;1;3;-10.5;80;2;-13;0.00165;0;0;0;3.5;030;993.6;
1;1;4;-11.7;86.4;1.9;-13.4;0.00157;0;0;0;2.5;030;993.3;
1;1;5;-13.1;80;1.6;-15.6;0.00133;0;0;0;1.5;030;992.8;
1;1;6;-15.2;87.5;1.4;-16.7;0.00118;0;0;0;1.2;030;992.3;
1;1;7;-16.4;80;1.2;-18.8;0.00101;0;0;0;0;000;991.9;
1;1;8;-16.5;85.7;1.2;-18.2;0.00101;0;0;0;0;000;991.7;
1;1;9;-15.8;86.7;1.3;-17.4;0.00109;36;36;0;0.8;030;991.7;
1;1;10;-14.2;77.8;1.4;-17;0.00117;149.2;51;98.2;0;000;991.1;
1;1;11;-12.5;76.2;1.6;-15.5;0.00133;231.2;33;198.2;0;000;990.1;
1;1;12;-11.4;69.6;1.6;-15.4;0.00132;275.3;36;239.3;1.8;030;989.2;
1;1;13;-9;67.9;1.9;-13.4;0.00156;275.3;36;239.3;0.8;030;987.9;
1;1;14;-7;67.6;2.3;-11.5;0.00187;231.2;33;198.2;3.8;240;987.1;
1;1;15;-7;67.6;2.3;-11.5;0.00187;150.2;27;123.2;4.8;240;986.6;
1;1;16;-7.5;68.8;2.2;-11.8;0.00179;43;29;14;5.8;240;986.4;
1;1;17;-7.3;72.7;2.4;-11;0.00196;0;0;0;6.8;240;985.7;
1;1;18;-6.2;75;2.7;-9.5;0.00219;0;0;0;8.8;250;985.4;
1;1;19;-5.8;71.1;2.7;-9.8;0.00219;0;0;0;3.8;240;984.5;
1;1;20;-5.6;73.7;2.8;-9.2;0.00227;0;0;0;4.8;250;984.2;
1;1;21;-3.5;72.3;3.4;-7.8;0.00273;0;0;0;6.8;230;982.7;
1;1;22;-1.9;69.8;3.7;-6.7;0.00296;0;0;0;6.8;230;981.6;
1;1;23;-1.1;76.8;4.3;-4.7;0.00342;0;0;0;5.8;220;980.3;
2;1;0;-0.6;75.9;4.4;-4.4;0.0035;0;0;0;7.8;230;979.4;
2;1;1;-0.5;74.6;4.4;-4.5;0.0035;0;0;0;5.8;230;977.8;
2;1;2;-0.1;72.1;4.4;-4.6;0.00349;0;0;0;6.8;220;976.9;
2;1;3;0.2;71;4.4;-4.5;0.00349;0;0;0;11.8;210;976.5;
2;1;4;-0.3;86.7;5.2;-2.3;0.00413;0;0;0;6.8;210;975.4;
2;1;5;1.4;76.5;5.2;-2.3;0.0041;0;0;0;5.8;210;974.4;
2;1;6;1.1;81.8;5.4;-1.7;0.00427;0;0;0;3.8;230;974;
2;1;7;0.8;86.2;5.6;-1.3;0.00443;0;0;0;5.8;230;973.5;
2;1;8;1.4;80.9;5.5;-1.6;0.00434;0;0;0;8.8;220;973.3;
2;1;9;1.4;83.8;5.7;-1.1;0.0045;13;13;0;9.8;230;972.8;
2;1;10;1.7;81.2;5.6;-1.2;0.00441;51.1;51;0.1;7.8;220;973.3;
2;1;11;1.7;85.5;5.9;-0.5;0.00465;86.1;86;0.1;10.8;220;972.4;
2;1;12;1.7;85.5;5.9;-0.5;0.00465;157.2;103;54.2;9.8;230;971.9;
2;1;13;1.9;84.3;5.9;-0.5;0.00465;144.1;128;16.1;7.8;220;971.6;
2;1;14;2.2;81.9;5.9;-0.6;0.00464;43;43;0;6.8;210;971;
2;1;15;2.2;83.3;6;-0.4;0.00472;48;48;0;4.8;230;969.9;
2;1;16;1.2;86.6;5.8;-0.8;0.00458;6;6;0;3.8;260;968.9;
2;1;17;2.3;88.9;6.4;0.6;0.00503;1;1;0;2.8;230;967.6;
2;1;18;1.8;92.9;6.5;0.7;0.00512;0;0;0;5.8;240;966.1;
2;1;19;2;87.3;6.2;0.1;0.00488;0;0;0;6.8;230;965;
2;1;20;2.7;87.8;6.5;0.8;0.00511;0;0;0;9.8;230;964.5;
2;1;21;3.4;84.6;6.6;1;0.00517;0;0;0;6.8;220;963.8;
2;1;22;3.8;83.8;6.7;1.3;0.00524;0;0;0;10.8;200;962.9;
2;1;23;4;84;6.8;1.5;0.00532;0;0;0;6.8;210;962.7;
3;1;0;4;93.8;7.6;3.1;0.00594;0;0;0;5.8;220;962.1;
3;1;1;5.2;90.9;8;3.8;0.00623;0;0;0;3.8;220;962.3;
3;1;2;5.4;90;8.1;3.9;0.0063;0;0;0;5.8;230;962.7;
3;1;3;5.4;87.8;7.9;3.5;0.00615;0;0;0;6.8;210;962.5;
3;1;4;5.6;86.8;7.9;3.5;0.00614;0;0;0;11.8;210;961.9;
3;1;5;5.7;80.4;7.4;2.6;0.00575;0;0;0;11.8;210;962.2;
3;1;6;5.6;83.5;7.6;3;0.00591;0;0;0;9.8;210;963.3;
3;1;7;5.2;84.1;7.4;2.7;0.00576;0;0;0;7.8;210;964.5;
3;1;8;5.8;81.5;7.5;2.9;0.00583;0;0;0;9.8;210;965;
3;1;9;5.6;80.2;7.3;2.4;0.00567;1;1;0;8.8;210;966;
3;1;10;5.1;83;7.3;2.4;0.00568;9;9;0;8.8;210;966.8;
3;1;11;5;86.2;7.5;2.9;0.00584;12;12;0;7.8;230;967.4;
3;1;12;5.3;83.1;7.4;2.6;0.00576;23;23;0;8.8;220;967.6;
3;1;13;4.9;85.1;7.4;2.6;0.00577;22;22;0;6.8;230;968.5;
3;1;14;5;86.2;7.5;2.9;0.00584;30;30;0;5.8;230;969.4;
3;1;15;5;86.2;7.5;2.9;0.00584;20;20;0;7.8;230;970.1;
3;1;16;5.6;81.3;7.4;2.6;0.00575;19;19;0;6.8;210;970.9;
3;1;17;5.1;83;7.3;2.4;0.00568;0;0;0;6.8;210;971.8;
3;1;18;4.4;85.7;7.2;2.2;0.00562;0;0;0;5.8;220;972.7;
3;1;19;4.6;87.1;7.4;2.6;0.00577;0;0;0;4.8;210;972.7;
3;1;20;3.6;89.9;7.1;2.1;0.00556;0;0;0;3.8;240;972.9;
3;1;21;2.8;90.7;6.8;1.4;0.00534;0;0;0;3.8;230;972.8;
3;1;22;3.9;82.7;6.7;1.2;0.00524;0;0;0;2.8;220;972.8;
3;1;23;3.4;83.3;6.5;0.8;0.00509;0;0;0;3.8;230;973;
4;1;0;3;82.9;6.3;0.3;0.00494;0;0;0;1.8;240;973;
4;1;1;3;85.5;6.5;0.8;0.0051;0;0;0;3.8;210;972.4;
4;1;2;1.9;88.6;6.2;0.2;0.00488;0;0;0;2.8;230;972.4;
4;1;3;3;88.2;6.7;1.2;0.00526;0;0;0;6.8;230;972.3;
4;1;4;4.1;85.4;7;1.8;0.00547;0;0;0;3.8;210;971.9;
4;1;5;4.6;87.1;7.4;2.6;0.00577;0;0;0;5.8;210;971.7;
4;1;6;3.9;90.1;7.3;2.4;0.00571;0;0;0;2.8;230;971.5;
4;1;7;3.6;92.4;7.3;2.4;0.00572;0;0;0;1.8;200;971.8;
4;1;8;3.5;97.4;7.6;3.1;0.00595;1;1;0;4.8;200;971.7;
4;1;9;3.3;97.4;7.5;2.9;0.00588;8;8;0;2.8;250;972.6;
4;1;10;4.2;95.1;7.8;3.4;0.00609;30;30;0;5.8;220;972.7;
4;1;11;2.6;89.2;6.6;1;0.00519;31;31;0;4.8;340;973.7;
4;1;12;1.5;85.3;5.8;-0.7;0.00458;11;11;0;4.8;360;974.7;
4;1;13;0.3;96.8;6;-0.2;0.00475;24;24;0;1.8;060;975.4;
4;1;14;0;95.1;5.8;-0.7;0.0046;22;22;0;2.8;050;976.1;
4;1;15;-0.3;86.7;5.2;-2.3;0.00413;13;13;0;4.8;360;977.3;
4;1;16;-0.7;91.4;5.3;-2;0.00422;2;2;0;2.8;020;977.8;
4;1;17;-1.7;92.6;5;-2.8;0.00399;0;0;0;3.8;040;978.6;
4;1;18;-1.9;84.9;4.5;-4.1;0.00359;0;0;0;4.8;020;979.3;
4;1;19;-2.4;86.3;4.4;-4.4;0.00352;0;0;0;4.8;020;979.6;
4;1;20;-2.7;84;4.2;-5.1;0.00336;0;0;0;4.8;040;979.7;
4;1;21;-3;83.7;4.1;-5.4;0.00329;0;0;0;5.8;040;980.1;
4;1;22;-3.8;82.6;3.8;-6.4;0.00306;0;0;0;6.8;030;980.4;
4;1;23;-4.1;80;3.6;-7.1;0.0029;0;0;0;4.8;050;981.1;
5;1;0;-4.8;79.1;3.4;-7.9;0.00275;0;0;0;5.8;050;981.2;
5;1;1;-5.6;76.3;2.9;-8.8;0.00235;0;0;0;4.8;020;981;
5;1;2;-6.2;83.3;3;-8.3;0.00244;0;0;0;4.8;020;981.5;
5;1;3;-6.8;85.3;2.9;-8.7;0.00236;0;0;0;4.8;020;982;
5;1;4;-7.6;84.4;2.7;-9.6;0.0022;0;0;0;5.8;020;982.2;
5;1;5;-7.8;84.4;2.7;-9.8;0.0022;0;0;0;4.8;010;982.2;
5;1;6;-7.8;84.4;2.7;-9.8;0.0022;0;0;0;4.8;360;982.3;
5;1;7;-7.8;81.3;2.6;-10.2;0.00212;0;0;0;5.8;010;982.5;
5;1;8;-8.2;86.7;2.6;-9.9;0.00213;0;0;0;5.8;010;983.2;
