den;mes;hod;tep;rv;nap;td;avl;glb;dif;insol;rychvetru;smervetru;tlakvzduchu;
1;1;0;1.8;87.1;6.1;-0.2;0.00481;0;0;0;2.5;120;991.6;
1;1;1;1.9;90;6.3;0.4;0.00496;0;0;0;2.6;120;991.1;
1;1;2;2.1;91.5;6.5;0.8;0.00512;0;0;0;2.6;110;990.1;
1;1;3;2.4;90.4;6.6;1;0.00519;0;0;0;0;000;989.2;
1;1;4;2.8;92;6.9;1.6;0.00542;0;0;0;1;140;988.3;
1;1;5;3;92.1;7;1.8;0.00549;0;0;0;0.8;120;987.6;
1;1;6;3.4;92.3;7.2;2.2;0.00564;0;0;0;0.9;360;987.1;
1;1;7;3.7;92.5;7.4;2.6;0.00579;0;0;0;0;000;986.4;
1;1;8;3.6;93.7;7.4;2.6;0.00579;0;0;0;0;000;986.4;
1;1;9;4;96.3;7.8;3.4;0.0061;0;0;0;0;000;987;
1;1;10;4.4;92.9;7.8;3.3;0.00609;26;26;0;0.8;360;987.4;
1;1;11;4.5;96.4;8.1;3.9;0.00632;63.1;63;0.1;0.8;360;987.5;
1;1;12;4.6;96.5;8.2;4.1;0.0064;69.1;69;0.1;0.8;360;987.3;
1;1;13;4.5;95.2;8;3.8;0.00624;37.1;37;0.1;0;000;987.3;
1;1;14;4.4;95.2;8;3.7;0.00625;26;26;0;5.8;170;987.7;
1;1;15;3.9;90.1;7.3;2.4;0.00571;11;11;0;3.8;270;988.1;
1;1;16;3.6;94.9;7.5;2.8;0.00587;6;6;0;3.8;270;988.2;
1;1;17;3.8;93.8;7.5;2.9;0.00587;0;0;0;1.8;240;988.7;
1;1;18;3.1;96.1;7.3;2.5;0.00573;0;0;0;3.8;270;988.8;
1;1;19;2.4;89;6.5;0.7;0.00511;0;0;0;1.8;230;988.9;
1;1;20;1.4;89.7;6.1;-0.1;0.00481;0;0;0;0.8;150;988.7;
1;1;21;1.4;88.2;6;-0.4;0.00474;0;0;0;1.8;220;988.2;
1;1;22;0.8;92.3;6;-0.3;0.00475;0;0;0;0.8;240;988.4;
1;1;23;0.3;95.2;5.9;-0.4;0.00468;0;0;0;1.8;240;988.9;
2;1;0;0.2;95.2;5.9;-0.5;0.00468;0;0;0;0.8;120;989.1;
2;1;1;0;93.4;5.7;-1;0.00452;0;0;0;0.8;150;989.3;
2;1;2;-0.1;91.8;5.6;-1.3;0.00444;0;0;0;1.8;140;989.4;
2;1;3;-0.5;94.9;5.6;-1.3;0.00445;0;0;0;1.8;120;989.4;
2;1;4;-0.2;91.7;5.5;-1.4;0.00437;0;0;0;1.8;140;989.7;
2;1;5;-0.7;94.8;5.5;-1.5;0.00437;0;0;0;1.8;100;989.3;
2;1;6;-0.8;89.7;5.2;-2.3;0.00414;0;0;0;0;000;989.2;
2;1;7;-0.7;91.4;5.3;-2;0.00422;0;0;0;0;000;989;
2;1;8;0;88.5;5.4;-1.7;0.00428;0;0;0;0;000;988.5;
