den;mes;hod;tep;rv;nap;td;avl;glb;dif;insol;rychvetru;smervetru;tlakvzduchu;
1;1;0;-1.4;90.9;5;-2.7;0.00399;0;0;0;1.7;300;983.6;
1;1;1;-1.5;89.1;4.9;-3.1;0.00391;0;0;0;0;000;983.7;
1;1;2;-1.5;87.3;4.8;-3.4;0.00383;0;0;0;0;000;984.2;
1;1;3;-1.5;85.5;4.7;-3.7;0.00375;0;0;0;0.4;260;984.3;
1;1;4;-1.6;88.9;4.8;-3.2;0.00383;0;0;0;0.4;240;984.4;
1;1;5;-2;90.6;4.8;-3.4;0.00384;0;0;0;0;000;984.5;
1;1;6;-2;92.5;4.9;-3.1;0.00392;0;0;0;0.4;220;984.8;
1;1;7;-1.9;94.3;5;-2.7;0.00399;0;0;0;0;000;985.8;
1;1;8;-1.9;94.3;5;-2.7;0.00399;0;0;0;0.4;250;985.5;
1;1;9;-1.6;92.6;5;-2.7;0.00399;28;28;0;0.4;210;985.8;
1;1;10;-1;87.7;5;-2.8;0.00398;85;85;0;1.4;220;985.7;
1;1;11;-0.5;84.7;5;-2.8;0.00397;77;77;0;0;000;985.5;
1;1;12;-0.5;86.4;5.1;-2.5;0.00405;93;93;0;0;000;985;
1;1;13;0.3;82.3;5.1;-2.4;0.00404;132;132;0;0.4;250;984.5;
1;1;14;0.4;82.5;5.2;-2.3;0.00412;96;96;0;0.4;260;984.2;
1;1;15;0.4;93.7;5.9;-0.5;0.00467;53;53;0;3.4;260;983.9;
1;1;16;0.1;95.2;5.9;-0.6;0.00468;14;14;0;1.4;220;983.6;
1;1;17;-0.1;95.1;5.8;-0.8;0.0046;0;0;0;0.4;240;983.5;
1;1;18;0.4;95.2;6;-0.3;0.00475;0;0;0;4.4;270;983;
1;1;19;0.5;95.2;6;-0.2;0.00475;0;0;0;4.4;270;982.9;
1;1;20;0.7;95.3;6.1;0;0.00483;0;0;0;4.4;280;982.8;
1;1;21;0.7;96.9;6.2;0.2;0.00491;0;0;0;3.4;280;982.8;
1;1;22;0.8;95.4;6.2;0.1;0.0049;0;0;0;3.4;280;982.8;
1;1;23;1;95.5;6.3;0.3;0.00498;0;0;0;3.4;290;983;
2;1;0;1.3;94;6.3;0.4;0.00497;0;0;0;3.4;290;983.5;
2;1;1;1.7;92.8;6.4;0.6;0.00505;0;0;0;3.4;300;983.8;
2;1;2;1.8;92.9;6.5;0.7;0.00512;0;0;0;3.4;300;984.2;
2;1;3;1.9;92.9;6.5;0.8;0.00512;0;0;0;5.4;290;984.5;
2;1;4;2;93;6.6;0.9;0.0052;0;0;0;2.4;300;985.1;
2;1;5;2;93;6.6;0.9;0.0052;0;0;0;3.4;300;985.7;
2;1;6;2.2;91.7;6.6;1;0.00519;0;0;0;4.4;280;986.7;
2;1;7;1.8;92.9;6.5;0.7;0.00512;0;0;0;3.4;300;987.5;
2;1;8;2;91.5;6.5;0.7;0.00512;0;0;0;2.4;280;988;
2;1;9;2;91.5;6.5;0.7;0.00512;17;17;0;0;000;988.8;
2;1;10;2.1;91.5;6.5;0.8;0.00512;47;47;0;4.4;290;989.4;
2;1;11;2.3;90.3;6.5;0.8;0.00511;85;85;0;3.4;280;989.9;
2;1;12;2.4;87.7;6.4;0.5;0.00503;105;105;0;3.4;270;989.8;
2;1;13;2.7;86.5;6.4;0.6;0.00503;166;166;0;4.4;270;989.2;
2;1;14;2.9;80;6;-0.2;0.00471;118;118;0;5.4;280;989.2;
2;1;15;2.7;83.8;6.2;0.2;0.00487;53;53;0;4.4;270;989.8;
2;1;16;2.6;81.1;6;-0.3;0.00471;25;25;0;4.4;270;990.2;
2;1;17;1.5;88.2;6;-0.3;0.00473;0;0;0;1.4;250;990;
2;1;18;1.2;88.1;5.9;-0.6;0.00466;0;0;0;4.4;270;990.3;
2;1;19;1.4;85.3;5.8;-0.8;0.00458;0;0;0;4.4;270;990;
2;1;20;0.7;90.6;5.8;-0.7;0.00459;0;0;0;2.4;240;990.2;
2;1;21;0.7;92.2;5.9;-0.5;0.00467;0;0;0;3.4;260;990.1;
2;1;22;0.6;90.6;5.8;-0.8;0.00459;0;0;0;2.4;280;990.3;
2;1;23;-0.3;91.7;5.5;-1.5;0.00437;0;0;0;3.4;240;990;
3;1;0;-0.9;93;5.3;-1.9;0.00422;0;0;0;1.4;230;989.9;
3;1;1;-1.2;92.9;5.2;-2.2;0.00414;0;0;0;2.4;250;989.4;
3;1;2;-0.5;91.5;5.4;-1.8;0.00429;0;0;0;2.4;250;989.1;
3;1;3;-0.6;93.1;5.4;-1.6;0.00429;0;0;0;1.4;260;988.9;
3;1;4;-0.7;93.1;5.4;-1.7;0.00429;0;0;0;2.4;300;988.6;
3;1;5;-0.7;93.1;5.4;-1.7;0.00429;0;0;0;2.4;300;988.4;
3;1;6;-1.1;92.9;5.2;-2.1;0.00414;0;0;0;2.4;310;988.2;
3;1;7;-1.1;92.9;5.2;-2.1;0.00414;0;0;0;4.4;300;988.2;
3;1;8;-1.3;92.9;5.2;-2.3;0.00414;0;0;0;3.4;290;988.4;
3;1;9;-0.8;93.1;5.4;-1.8;0.0043;33;33;0;3.4;300;988.5;
3;1;10;-0.6;93.1;5.4;-1.6;0.00429;96;96;0;4.4;300;988.3;
3;1;11;-0.1;91.8;5.6;-1.3;0.00444;167;167;0;3.4;280;988.3;
3;1;12;0.3;91.9;5.7;-0.9;0.00452;170;170;0;2.4;290;987.7;
3;1;13;0.6;87.5;5.6;-1.3;0.00443;173;173;0;4.4;300;987.3;
3;1;14;0.8;86.2;5.6;-1.3;0.00443;233.4;89;144.4;2.4;300;987;
3;1;15;0.6;87.5;5.6;-1.3;0.00443;153.4;87;66.4;5.4;320;987;
3;1;16;0;88.5;5.4;-1.7;0.00428;28;28;0;5.4;310;987.1;
3;1;17;-0.2;90;5.4;-1.7;0.00429;0;0;0;4.4;290;987.8;
3;1;18;-0.2;86.7;5.2;-2.2;0.00413;0;0;0;4.4;270;987.6;
3;1;19;-0.5;91.5;5.4;-1.8;0.00429;0;0;0;2.4;240;987.3;
3;1;20;-0.6;93.1;5.4;-1.6;0.00429;0;0;0;1.4;220;987;
3;1;21;-0.3;90;5.4;-1.8;0.00429;0;0;0;1.4;200;986.5;
3;1;22;0.2;87.1;5.4;-1.7;0.00428;0;0;0;3.4;250;986.2;
3;1;23;0.1;90.3;5.6;-1.3;0.00444;0;0;0;0.4;290;986;
4;1;0;0.5;90.5;5.7;-0.9;0.00451;0;0;0;1.4;300;985.5;
4;1;1;0.9;86.2;5.6;-1.2;0.00443;0;0;0;3.4;300;985.2;
4;1;2;0.8;86.2;5.6;-1.3;0.00443;0;0;0;1.4;310;984.7;
4;1;3;0.8;84.6;5.5;-1.5;0.00435;0;0;0;3.4;270;984.3;
4;1;4;0.4;84.1;5.3;-2;0.0042;0;0;0;6.4;270;983.9;
4;1;5;0;83.6;5.1;-2.5;0.00405;0;0;0;7.4;280;983.9;
