den;mes;hod;tep;rv;nap;td;avl;glb;dif;insol;rychvetru;smervetru;tlakvzduchu;
1;1;0;3.1;84.2;6.4;0.7;0.00502;0;0;0;1.5;160;991.3;
1;1;1;3.3;87;6.7;1.3;0.00525;0;0;0;2.1;150;990.1;
1;1;2;3.5;85.9;6.7;1.3;0.00525;0;0;0;1.4;160;989.4;
1;1;3;3.8;86.3;6.9;1.7;0.0054;0;0;0;1.6;180;988.6;
1;1;4;4.5;88.1;7.4;2.7;0.00577;0;0;0;2.7;210;987.7;
1;1;5;5.2;88.6;7.8;3.4;0.00607;0;0;0;1.9;220;987.3;
1;1;6;5.6;86.8;7.9;3.5;0.00614;0;0;0;2.9;210;986.8;
1;1;7;5.9;88.2;8.2;4.1;0.00637;0;0;0;3.9;250;986.6;
1;1;8;5.9;86;8;3.7;0.00621;0;0;0;1.9;220;986.9;
1;1;9;5.9;87.1;8.1;3.9;0.00629;6;6;0;2.9;230;987.3;
1;1;10;5.9;84.9;7.9;3.5;0.00613;29;29;0;2.9;230;987.6;
1;1;11;5.8;87;8;3.8;0.00621;37;37;0;1.9;240;987.9;
1;1;12;5.4;85.6;7.7;3.2;0.00599;34;34;0;3.9;280;988;
1;1;13;5.5;84.4;7.6;3.1;0.00591;19;19;0;3.9;290;988.3;
1;1;14;5.5;78.9;7.1;2.1;0.00552;59;59;0;3.9;290;988.9;
1;1;15;5.5;73.3;6.6;1.1;0.00513;54;54;0;3.7;280;989.8;
1;1;16;4.2;65.9;5.4;-1.6;0.00422;29;29;0;2.6;290;990.4;
1;1;17;2.6;75.7;5.6;-1.3;0.0044;0;0;0;0.4;240;990.9;
1;1;18;2.9;84;6.3;0.4;0.00494;0;0;0;5.1;230;991.3;
1;1;19;3.2;80.5;6.2;0.1;0.00486;0;0;0;3.8;220;991.8;
1;1;20;2.7;74.3;5.5;-1.5;0.00432;0;0;0;3.4;220;991.8;
1;1;21;2.7;77;5.7;-1;0.00448;0;0;0;3.9;290;992.2;
1;1;22;2.3;76.4;5.5;-1.5;0.00433;0;0;0;2.2;210;992.3;
1;1;23;2.5;79.5;5.8;-0.7;0.00456;0;0;0;1.5;210;992;
2;1;0;2.5;76.7;5.6;-1.2;0.0044;0;0;0;3.8;210;991.9;
2;1;1;2.5;76.7;5.6;-1.2;0.0044;0;0;0;4.1;220;991.6;
2;1;2;2.2;79.2;5.7;-1.1;0.00449;0;0;0;3.4;220;991;
2;1;3;1.7;78.3;5.4;-1.7;0.00426;0;0;0;3.7;200;990.4;
2;1;4;1.3;80.6;5.4;-1.7;0.00426;0;0;0;4;200;989.8;
