den;mes;hod;tep;rv;nap;td;avl;glb;dif;insol;rychvetru;smervetru;tlakvzduchu;
1;1;0;-5.6;78.9;3;-8.4;0.00243;0;0;0;5.2;030;983.6;
1;1;1;-7.4;78.8;2.6;-10.2;0.00212;0;0;0;4.4;030;983.4;
1;1;2;-8.9;79.3;2.3;-11.6;0.00189;0;0;0;3.5;030;983.2;
1;1;3;-10.9;79.2;1.9;-13.5;0.00157;0;0;0;3.9;030;982.9;
1;1;4;-12.1;81.8;1.8;-14.4;0.00149;0;0;0;2.9;030;982.6;
1;1;5;-13.5;78.9;1.5;-16.1;0.00125;0;0;0;1.9;030;982;
1;1;6;-15.6;81.3;1.3;-17.9;0.00109;0;0;0;1.6;030;981.4;
1;1;7;-16.8;78.6;1.1;-19.4;0.00093;0;0;0;0;000;981;
1;1;8;-16.9;78.6;1.1;-19.5;0.00093;0;0;0;0;000;980.8;
1;1;9;-16.2;80;1.2;-18.6;0.00101;36;36;0;1.2;030;980.8;
1;1;10;-14.6;76.5;1.3;-17.5;0.00109;148.8;51;97.8;0;000;980.3;
1;1;11;-12.9;75;1.5;-16.1;0.00125;230.7;33;197.7;0;000;979.4;
1;1;12;-11.8;68.2;1.5;-16;0.00124;274.6;36;238.6;2.2;030;978.5;
1;1;13;-9.4;66.7;1.8;-13.9;0.00148;274.6;36;238.6;1.2;030;977.4;
1;1;14;-7.4;66.7;2.2;-12;0.00179;230.7;33;197.7;4.2;240;976.6;
1;1;15;-7.4;66.7;2.2;-12;0.00179;149.8;27;122.8;5.2;240;976.1;
1;1;16;-7.9;67.7;2.1;-12.3;0.00172;42.9;29;13.9;6.2;240;975.9;
1;1;17;-7.7;71.9;2.3;-11.5;0.00188;0;0;0;7.2;240;975.2;
1;1;18;-6.6;74.3;2.6;-10;0.00211;0;0;0;9.2;250;975;
1;1;19;-6.2;72.2;2.6;-10;0.00211;0;0;0;4.2;240;974.1;
1;1;20;-6;73;2.7;-9.6;0.00219;0;0;0;5.2;250;973.8;
1;1;21;-3.9;71.7;3.3;-8.3;0.00266;0;0;0;7.2;230;972.4;
1;1;22;-2.3;69.2;3.6;-7.2;0.00288;0;0;0;7.2;230;971.4;
1;1;23;-1.5;76.4;4.2;-5.2;0.00335;0;0;0;6.2;220;970.1;
2;1;0;-1;75.4;4.3;-4.8;0.00342;0;0;0;8.2;230;969.2;
