den;mes;hod;tep;rv;nap;td;avl;glb;dif;insol;rychvetru;smervetru;tlakvzduchu;
1;1;0;-5.1;72.5;2.9;-8.9;0.00234;0;0;0;0;000;992.9;
1;1;1;-6.1;78.4;2.9;-8.9;0.00235;0;0;0;2.4;240;992.9;
1;1;2;-7.2;78.8;2.6;-10;0.00212;0;0;0;0;000;992.9;
1;1;3;-8.6;82.8;2.4;-10.8;0.00197;0;0;0;0;000;993;
1;1;4;-8.5;73.3;2.2;-12;0.0018;0;0;0;2.9;210;992.6;
1;1;5;-9.6;74.1;2;-13;0.00164;0;0;0;2.1;170;991.9;
1;1;6;-10.8;75;1.8;-14;0.00149;0;0;0;1.2;160;991.5;
1;1;7;-11.2;69.6;1.6;-15.2;0.00132;0;0;0;2.1;150;991;
1;1;8;-12;72.7;1.6;-15.5;0.00133;0;0;0;1.1;170;990.9;
1;1;9;-11.7;77.3;1.7;-14.6;0.00141;22;22;0;2.1;150;990.8;
1;1;10;-10.1;73.1;1.9;-13.6;0.00157;68.1;68;0.1;2.1;160;990.1;
1;1;11;-9.9;73.1;1.9;-13.4;0.00156;93;93;0;1.1;180;989.4;
1;1;12;-9.3;67.9;1.9;-13.7;0.00156;118;118;0;2.1;160;987.8;
1;1;13;-9.4;74.1;2;-12.8;0.00164;111;111;0;2.1;210;987.1;
1;1;14;-8.9;69;2;-13.1;0.00164;120;120;0;2.1;200;986.2;
1;1;15;-9.3;71.4;2;-13.1;0.00164;70;70;0;2.1;180;985.7;
1;1;16;-9.2;78.6;2.2;-11.9;0.00181;17;17;0;2.1;180;984.9;
1;1;17;-9.1;78.6;2.2;-11.8;0.00181;0;0;0;2.1;210;984;
1;1;18;-9.1;82.1;2.3;-11.4;0.00189;0;0;0;3.1;220;983.1;
1;1;19;-8.6;86.2;2.5;-10.3;0.00205;0;0;0;2.1;240;981.8;
1;1;20;-8.5;83.3;2.5;-10.6;0.00205;0;0;0;1.1;240;980.1;
1;1;21;-8.4;86.7;2.6;-10.1;0.00213;0;0;0;2.1;250;978.5;
1;1;22;-7.9;87.1;2.7;-9.5;0.00221;0;0;0;3.1;260;977.8;
1;1;23;-7.4;84.8;2.8;-9.3;0.00228;0;0;0;3.1;240;976;
2;1;0;-7.7;87.5;2.8;-9.3;0.00229;0;0;0;0;000;974.9;
2;1;1;-6.7;88.6;3.1;-8.1;0.00252;0;0;0;0;000;973.9;
2;1;2;-5.8;89.5;3.4;-7.1;0.00276;0;0;0;0;000;972.6;
2;1;3;-5.4;89.7;3.5;-6.7;0.00283;0;0;0;0;000;971.7;
2;1;4;-5.3;89.7;3.5;-6.6;0.00283;0;0;0;0;000;971.2;
2;1;5;-5.1;90;3.6;-6.4;0.00291;0;0;0;0;000;970.5;
2;1;6;-3.1;91.8;4.5;-4.3;0.00361;0;0;0;0;000;969.8;
2;1;7;-4.4;86.4;3.8;-6.4;0.00306;0;0;0;0;000;969.5;
2;1;8;-1;93;5.3;-2;0.00422;0;0;0;0;000;969.4;
2;1;9;0.4;93.7;5.9;-0.5;0.00467;16;16;0;0;000;969.2;
2;1;10;0.9;93.8;6.1;0;0.00482;73;73;0;0;000;969.3;
2;1;11;2.4;93.2;6.8;1.4;0.00535;108;108;0;1.1;260;968.5;
2;1;12;1.9;92.9;6.5;0.8;0.00512;122;122;0;2.1;180;967.8;
2;1;13;4.2;91.5;7.5;2.9;0.00586;72;72;0;1.1;240;966.7;
2;1;14;5;90.8;7.9;3.6;0.00615;35;35;0;1.1;200;965.7;
2;1;15;5;94.3;8.2;4.1;0.00639;18;18;0;0;000;963.9;
2;1;16;4.9;94.3;8.2;4;0.00639;9;9;0;0;000;962.5;
2;1;17;4.5;92.9;7.8;3.4;0.00609;0;0;0;0;000;961.5;
2;1;18;4.8;93;8;3.7;0.00624;0;0;0;1.1;170;960.9;
2;1;19;4.7;95.3;8.1;4;0.00632;0;0;0;0;000;960.2;
2;1;20;5.4;93.3;8.4;4.4;0.00653;0;0;0;0;000;960.1;
2;1;21;5.1;94.3;8.3;4.2;0.00646;0;0;0;2.1;220;960;
2;1;22;5.3;93.3;8.3;4.3;0.00646;0;0;0;0;000;959;
2;1;23;6.1;94.7;8.9;5.3;0.00691;0;0;0;1.1;230;958.6;
3;1;0;6.3;94.7;9;5.5;0.00698;0;0;0;1.1;240;958.9;
3;1;1;5.7;93.5;8.6;4.7;0.00668;0;0;0;3.1;230;959.4;
3;1;2;5.5;94.4;8.5;4.6;0.00661;0;0;0;4.1;240;960.4;
3;1;3;5.4;93.3;8.4;4.4;0.00653;0;0;0;7.1;240;961.3;
3;1;4;6.8;79.8;7.9;3.5;0.00611;0;0;0;10.1;240;961.8;
3;1;5;6.5;79.4;7.7;3.2;0.00597;0;0;0;9.1;240;962.3;
3;1;6;6.2;78.9;7.5;2.8;0.00582;0;0;0;9.1;240;963.3;
3;1;7;6.2;77.9;7.4;2.6;0.00574;0;0;0;10.1;250;964.4;
3;1;8;5.5;83.3;7.5;2.9;0.00583;0;0;0;7.1;260;965.9;
3;1;9;5.6;81.3;7.4;2.6;0.00575;5;5;0;6.1;250;967.3;
3;1;10;6.7;75.5;7.4;2.7;0.00573;53;53;0;10.1;260;967.9;
3;1;11;7.3;70.6;7.2;2.3;0.00556;59;59;0;7.1;250;969;
3;1;12;7.6;68.3;7.1;2.1;0.00548;117;117;0;9.1;260;969.4;
3;1;13;6.5;80.4;7.8;3.3;0.00604;115;115;0;5.1;260;970.2;
3;1;14;5.8;89.1;8.2;4.1;0.00637;82;82;0;4.1;250;970.5;
3;1;15;5.8;88;8.1;3.9;0.00629;58;58;0;4.1;260;970.9;
3;1;16;5.5;86.7;7.8;3.4;0.00607;18;18;0;3.1;240;971.3;
3;1;17;5.6;82.4;7.5;2.8;0.00583;0;0;0;3.1;220;971.6;
3;1;18;6;80.6;7.5;2.9;0.00582;0;0;0;5.1;230;971.5;
3;1;19;6;80.6;7.5;2.9;0.00582;0;0;0;5.1;240;971.4;
3;1;20;5.1;84.1;7.4;2.6;0.00576;0;0;0;2.1;240;971.6;
3;1;21;5.4;83.3;7.5;2.8;0.00583;0;0;0;2.1;260;971.6;
3;1;22;5.3;84.3;7.5;2.8;0.00584;0;0;0;3.1;250;971.2;
3;1;23;5.2;86.4;7.6;3.1;0.00592;0;0;0;2.1;240;971.2;
4;1;0;4.8;88.4;7.6;3;0.00592;0;0;0;0;000;971;
4;1;1;5.2;85.2;7.5;2.9;0.00584;0;0;0;0;000;970.9;
4;1;2;4.8;88.4;7.6;3;0.00592;0;0;0;1.1;220;970.8;
4;1;3;4.6;88.2;7.5;2.8;0.00585;0;0;0;2.1;230;971;
4;1;4;4.2;91.5;7.5;2.9;0.00586;0;0;0;0;000;971.1;
4;1;5;4.2;91.5;7.5;2.9;0.00586;0;0;0;0;000;971.3;
4;1;6;1.9;87.1;6.1;-0.1;0.00481;0;0;0;7.1;290;972.5;
4;1;7;1.6;84.1;5.8;-0.8;0.00457;0;0;0;2.1;060;973.7;
4;1;8;0.6;84.4;5.4;-1.8;0.00427;0;0;0;4.1;040;974.7;
4;1;9;0.2;87.1;5.4;-1.7;0.00428;14;14;0;4.1;040;975.8;
4;1;10;-0.6;86.2;5;-2.7;0.00397;27;27;0;3.1;040;976.8;
4;1;11;-1.1;91.1;5.1;-2.4;0.00406;24;24;0;4.1;040;977.6;
4;1;12;-1.4;89.1;4.9;-3;0.00391;79;79;0;4.1;020;977.7;
4;1;13;-1.5;85.5;4.7;-3.7;0.00375;108;108;0;4.1;320;978.2;
4;1;14;-1.9;86.8;4.6;-3.8;0.00367;46;46;0;4.1;030;978.5;
4;1;15;-2.3;82.7;4.3;-4.9;0.00344;30;30;0;4.1;040;979.5;
4;1;16;-2.7;80;4;-5.7;0.0032;13;13;0;4.1;040;980.2;
4;1;17;-2.9;79.6;3.9;-6;0.00313;0;0;0;4.1;040;980.2;
4;1;18;-3.4;77.1;3.7;-6.9;0.00297;0;0;0;3.1;050;980.7;
4;1;19;-4.1;82.2;3.7;-6.7;0.00298;0;0;0;2.1;050;981.1;
4;1;20;-5;78.6;3.3;-8.2;0.00267;0;0;0;3.1;080;981.6;
