den;mes;hod;tep;rv;nap;td;avl;glb;dif;insol;rychvetru;smervetru;tlakvzduchu;
1;1;0;-1.7;92.6;5;-2.8;0.00399;0;0;0;1.8;300;976.5;
1;1;1;-1.8;90.7;4.9;-3.2;0.00391;0;0;0;0.1;310;976.6;
1;1;2;-1.8;88.9;4.8;-3.4;0.00383;0;0;0;0.1;300;977.1;
1;1;3;-1.8;87;4.7;-3.7;0.00375;0;0;0;0.5;260;977.2;
1;1;4;-1.9;90.6;4.8;-3.3;0.00383;0;0;0;0.5;240;977.4;
1;1;5;-2.3;92.3;4.8;-3.4;0.00384;0;0;0;0;000;977.5;
1;1;6;-2.3;94.2;4.9;-3.1;0.00392;0;0;0;0.5;220;977.8;
1;1;7;-2.2;96.2;5;-2.8;0.004;0;0;0;0;000;978.8;
1;1;8;-2.2;96.2;5;-2.8;0.004;0;0;0;0.5;250;978.5;
1;1;9;-1.9;94.3;5;-2.7;0.00399;28;28;0;0.5;210;978.8;
1;1;10;-1.3;89.3;5;-2.9;0.00399;85;85;0;1.5;220;978.6;
1;1;11;-0.8;86.2;5;-2.9;0.00398;77;77;0;0;000;978.5;
1;1;12;-0.8;87.9;5.1;-2.6;0.00406;93;93;0;0;000;978;
1;1;13;0;83.6;5.1;-2.5;0.00405;132;132;0;0.5;250;977.5;
1;1;14;0.1;83.9;5.2;-2.3;0.00412;96;96;0;0.5;260;977.2;
1;1;15;0.1;95.2;5.9;-0.6;0.00468;53;53;0;3.5;260;976.9;
1;1;16;-0.2;98.3;5.9;-0.5;0.00468;14;14;0;1.5;220;976.6;
1;1;17;-0.4;98.3;5.8;-0.7;0.00461;0;0;0;0.5;240;976.6;
1;1;18;0.1;96.8;6;-0.4;0.00476;0;0;0;4.5;270;976;
1;1;19;0.2;96.8;6;-0.3;0.00476;0;0;0;4.5;270;975.9;
1;1;20;0.4;96.8;6.1;-0.1;0.00483;0;0;0;4.5;280;975.8;
1;1;21;0.4;98.4;6.2;0.1;0.00491;0;0;0;3.5;280;975.8;
1;1;22;0.5;98.4;6.2;0.2;0.00491;0;0;0;3.5;280;975.9;
1;1;23;0.7;98.4;6.3;0.4;0.00498;0;0;0;3.5;290;976.1;
2;1;0;1;95.5;6.3;0.3;0.00498;0;0;0;3.5;290;976.6;
2;1;1;1.4;94.1;6.4;0.5;0.00505;0;0;0;3.5;300;976.9;
2;1;2;1.5;95.6;6.5;0.8;0.00513;0;0;0;3.5;300;977.2;
2;1;3;1.6;94.2;6.5;0.7;0.00513;0;0;0;5.5;290;977.6;
2;1;4;1.7;95.7;6.6;1;0.0052;0;0;0;2.5;300;978.2;
2;1;5;1.7;95.7;6.6;1;0.0052;0;0;0;3.5;300;978.8;
2;1;6;1.9;94.3;6.6;1;0.0052;0;0;0;4.5;280;979.8;
2;1;7;1.5;95.6;6.5;0.8;0.00513;0;0;0;3.5;300;980.5;
2;1;8;1.7;94.2;6.5;0.8;0.00512;0;0;0;2.5;280;981;
2;1;9;1.7;94.2;6.5;0.8;0.00512;17;17;0;0;000;981.8;
2;1;10;1.8;92.9;6.5;0.7;0.00512;47;47;0;4.5;290;982.4;
2;1;11;2;91.5;6.5;0.7;0.00512;85;85;0;3.5;280;982.9;
2;1;12;2.1;90.1;6.4;0.6;0.00504;105;105;0;3.5;270;982.8;
2;1;13;2.4;87.7;6.4;0.5;0.00503;166;166;0;4.5;270;982.3;
2;1;14;2.6;81.1;6;-0.3;0.00471;118;118;0;5.5;280;982.3;
2;1;15;2.4;84.9;6.2;0.1;0.00488;53;53;0;4.5;270;982.8;
2;1;16;2.3;83.3;6;-0.3;0.00472;25;25;0;4.5;270;983.2;
2;1;17;1.2;89.6;6;-0.4;0.00474;0;0;0;1.5;250;983;
2;1;18;0.9;90.8;5.9;-0.5;0.00466;0;0;0;4.5;270;983.3;
2;1;19;1.1;87.9;5.8;-0.7;0.00458;0;0;0;4.5;270;983;
2;1;20;0.4;92.1;5.8;-0.8;0.00459;0;0;0;2.5;240;983.2;
2;1;21;0.4;93.7;5.9;-0.5;0.00467;0;0;0;3.5;260;983.1;
2;1;22;0.3;93.5;5.8;-0.7;0.0046;0;0;0;2.5;280;983.3;
2;1;23;-0.6;94.8;5.5;-1.4;0.00437;0;0;0;3.5;240;983;
3;1;0;-1.2;94.6;5.3;-2;0.00422;0;0;0;1.5;230;982.8;
3;1;1;-1.5;94.5;5.2;-2.3;0.00415;0;0;0;2.5;250;982.3;
3;1;2;-0.8;93.1;5.4;-1.8;0.0043;0;0;0;2.5;250;982.1;
