hodina;relativní odbìr
1;0.37507
2;0.35771
3;0.34025
4;0.30561
5;0.30436
6;0.30765
7;0.31768
8;0.33111
9;0.32767
10;0.33673
11;0.34355
12;0.36422
13;0.36366
14;0.37324
15;0.37344
16;0.40328
17;0.43003
18;0.42458
19;0.41143
20;0.39944
21;0.37823
22;0.35969
23;0.33328
24;0.31365
25;0.30831
26;0.29776
27;0.29619
28;0.30267
29;0.31776
30;0.3217
31;0.36056
32;0.40537
33;0.47336
34;0.52524
35;0.53526
36;0.50775
37;0.45883
38;0.44282
39;0.43838
40;0.46165
41;0.50281
42;0.50691
43;0.50491
44;0.47602
45;0.44546
46;0.40484
47;0.37776
48;0.35171
49;0.3285
50;0.31093
51;0.30571
52;0.30171
53;0.30501
54;0.31804
55;0.34019
56;0.34939
57;0.39062
58;0.42702
59;0.43456
60;0.44276
61;0.42788
62;0.43528
63;0.43648
64;0.48368
65;0.50924
66;0.52671
67;0.51459
68;0.48734
69;0.4383
70;0.39276
71;0.36013
72;0.32616
73;0.30682
74;0.29656
75;0.2952
76;0.30071
77;0.32172
78;0.41331
79;0.63193
80;0.85835
81;0.95241
82;0.99232
83;0.9552
84;0.92474
85;0.86096
86;0.88786
87;0.87325
88;0.85726
89;0.80386
90;0.71101
91;0.58557
92;0.51548
93;0.46687
94;0.42693
95;0.37631
96;0.3409
97;0.32183
98;0.31124
99;0.30547
100;0.31199
101;0.33086
102;0.4155
103;0.59998
104;0.83351
105;0.94705
106;0.999
107;0.96869
108;0.92504
109;0.88506
110;0.93226
111;0.90823
112;0.86094
113;0.82884
114;0.76183
115;0.61205
116;0.53572
117;0.47875
118;0.42989
119;0.37105
120;0.33975
121;0.32051
122;0.3044
123;0.30315
124;0.30668
125;0.33141
126;0.4073
127;0.60283
128;0.83765
129;0.92115
130;0.99924
131;0.98917
132;0.94337
133;0.87251
134;0.89074
135;0.88167
136;0.87267
137;0.82644
138;0.72406
139;0.61422
140;0.53069
141;0.49369
142;0.44416
143;0.37519
144;0.34961
145;0.33061
146;0.31156
147;0.30937
148;0.31271
149;0.33519
150;0.41388
151;0.60037
152;0.83179
153;0.95242
154;0.94465
155;0.951
156;0.92014
157;0.84905
158;0.87643
159;0.86818
160;0.82099
161;0.78288
162;0.71875
163;0.60785
164;0.53532
165;0.48472
166;0.44496
167;0.37463
168;0.34336
169;0.32251
170;0.30737
171;0.30826
172;0.30936
173;0.33116
174;0.41837
175;0.59811
176;0.82007
177;0.92966
178;0.95501
179;0.94219
180;0.88794
