hodina;relativní odbìr
1;0.6167589
2;0.5973346
3;0.5991375
4;0.5830949
5;0.6343293
6;0.5706479
7;0.4937045
8;0.4609674
9;0.4339344
10;0.4469416
11;0.4354724
12;0.4150601
13;0.4660094
14;0.5076387
15;0.507985
16;0.5644753
17;0.5841644
18;0.5540756
19;0.5814142
20;0.5345291
21;0.5057237
22;0.4873078
23;0.4824492
24;0.5732656
25;0.5651743
26;0.5908546
27;0.5846644
28;0.5586183
29;0.5767636
30;0.5834284
31;0.6037887
32;0.6905302
33;0.7214316
34;0.7476459
35;0.7677392
36;0.7520067
37;0.7605701
38;0.7268307
39;0.6854277
40;0.7282546
41;0.7199977
42;0.6713169
43;0.6287373
44;0.5975095
45;0.5722248
46;0.5957988
47;0.5497978
48;0.5845656
49;0.6205386
50;0.6051565
51;0.6128573
52;0.5884614
53;0.6229488
54;0.5770766
55;0.5614887
56;0.5623411
57;0.5543267
58;0.5904405
59;0.590176
60;0.5516911
61;0.5770179
62;0.5832393
63;0.5883438
64;0.642593
65;0.6397713
66;0.6127888
67;0.6232428
68;0.567475
69;0.5483404
70;0.5239934
71;0.5236995
72;0.5954079
73;0.5953831
74;0.583557
75;0.591229
76;0.5665455
77;0.6100525
78;0.5373802
79;0.5141713
80;0.5098437
81;0.4852469
82;0.5058728
83;0.5178627
84;0.5049089
85;0.5410716
86;0.5630179
87;0.5697743
88;0.6220618
89;0.6211654
90;0.611479
91;0.6286061
92;0.5746031
93;0.5381609
94;0.5181133
95;0.5106341
96;0.5740344
97;0.5701507
98;0.5980867
99;0.6000565
100;0.5723534
101;0.612865
102;0.630331
103;0.7570765
104;0.8720032
105;0.9125148
106;0.9347452
107;0.9628074
108;0.9246343
109;0.9540452
110;0.9211023
111;0.8570115
112;0.8838219
113;0.8743417
114;0.7632478
115;0.6646131
116;0.5927305
117;0.5758175
118;0.605209
119;0.5695394
120;0.5907413
121;0.6118948
122;0.6396646
123;0.62067
124;0.5988855
125;0.647124
126;0.6748344
127;0.7902665
128;0.9208448
129;0.9630782
130;0.9824488
131;0.9893047
132;0.9526015
133;0.9737627
134;0.932756
135;0.8765339
136;0.9042146
137;0.8745651
138;0.7827676
139;0.7051962
140;0.619285
141;0.5922473
142;0.6263684
143;0.5829379
144;0.6052368
145;0.6102197
146;0.6309189
147;0.6315639
148;0.6095946
149;0.6628211
150;0.6817937
151;0.7752974
152;0.8846082
153;0.9212734
154;0.9450586
155;0.9872905
156;0.9641305
157;0.9664326
158;0.9336473
159;0.8879622
160;0.93329
161;0.9258478
162;0.8186506
163;0.7094687
164;0.6240126
165;0.5969131
166;0.6144866
167;0.5854918
168;0.5961093
169;0.5966447
170;0.6168256
171;0.6085698
172;0.5849343
173;0.639212
174;0.659471
175;0.771598
176;0.8880287
177;0.9161824
178;0.925336
179;0.9736317
180;0.9307521
