hodina;relativní odbìr
1;0.37214
2;0.51785
3;0.50165
4;0.40879
5;0.33743
6;0.34497
7;0.27682
8;0.19797
9;0.28201
10;0.3643
11;0.45156
12;0.56406
13;0.58026
14;0.69478
15;0.833
16;0.69711
17;0.47065
18;0.46074
19;0.4597
20;0.44872
21;0.41548
22;0.45872
23;0.59137
24;0.62993
25;0.337
26;0.39398
27;0.46509
28;0.41788
29;0.35616
30;0.35278
31;0.34522
32;0.24954
33;0.28192
34;0.37989
35;0.55249
36;0.57382
37;0.57579
38;0.70466
39;0.93495
40;0.84587
41;0.55298
42;0.54713
43;0.47491
44;0.47071
45;0.47271
46;0.45023
47;0.63763
48;0.64191
49;0.31926
50;0.51357
51;0.48818
52;0.3911
53;0.37334
54;0.38797
55;0.29395
56;0.2174
57;0.35228
58;0.43873
59;0.65848
60;0.68113
61;0.68967
62;0.69849
63;0.89046
64;0.72474
65;0.50061
66;0.48876
67;0.45452
68;0.50156
69;0.4567
70;0.47021
71;0.62081
72;0.62649
73;0.37937
74;0.45954
75;0.44778
76;0.41486
77;0.36266
78;0.41206
79;0.25948
80;0.32009
81;0.34125
82;0.34306
83;0.44822
84;0.36017
85;0.42464
86;0.59895
87;0.56674
88;0.4194
89;0.45878
90;0.50079
91;0.47775
92;0.45014
93;0.66471
94;0.8812
95;0.43797
96;0.35619
97;0.33212
98;0.35348
99;0.36252
100;0.33525
101;0.31357
102;0.35592
103;0.2448
104;0.2707
105;0.30497
106;0.30367
107;0.41913
108;0.46268
109;0.45194
110;0.56747
111;0.62114
112;0.53165
113;0.5285
114;0.49258
115;0.50115
116;0.52157
117;0.7807
118;0.9006
119;0.44718
120;0.34626
121;0.31955
122;0.41179
123;0.42005
124;0.35517
125;0.34493
126;0.43162
127;0.24286
128;0.258
129;0.25458
130;0.31406
131;0.4648
132;0.41869
133;0.40322
134;0.54705
135;0.59017
136;0.40644
137;0.42515
138;0.50992
139;0.51612
140;0.48073
141;0.7432
142;0.89082
143;0.41123
144;0.37796
145;0.33052
146;0.39767
147;0.40578
148;0.39793
149;0.37411
150;0.38282
151;0.26074
152;0.29352
153;0.30813
154;0.29693
155;0.45179
156;0.3841
157;0.4107
158;0.55188
159;0.59629
160;0.44529
161;0.44292
162;0.4691
163;0.42275
164;0.43791
165;0.77556
166;0.91786
167;0.42897
168;0.35873
169;0.33517
170;0.39237
171;0.42491
172;0.37496
173;0.34316
174;0.35635
175;0.24178
176;0.27865
177;0.2808
178;0.29574
