hodina;relativní odbìr
1;0.4169931
2;0.5849121
3;0.6001654
4;0.5227323
5;0.4728343
6;0.3642655
7;0.3050979
8;0.2041457
9;0.2479991
10;0.3790524
11;0.5133409
12;0.5636243
13;0.531718
14;0.597133
15;0.7998487
16;0.6981968
17;0.5292535
18;0.4836861
19;0.4382302
20;0.4554511
21;0.487611
22;0.4657147
23;0.5813421
24;0.5842224
25;0.3463945
26;0.5150994
27;0.5140615
28;0.3927024
29;0.3533234
30;0.3370143
31;0.2100607
32;0.2351766
33;0.3120862
34;0.3819483
35;0.5015975
36;0.5145953
37;0.4159205
38;0.5989872
39;0.6942025
40;0.5554767
41;0.509495
42;0.4750483
43;0.4331587
44;0.4596189
45;0.6525007
46;0.8932916
47;0.4221279
48;0.3578504
49;0.3464067
50;0.5022149
51;0.5005404
52;0.3923868
53;0.3975384
54;0.3432941
55;0.2956987
56;0.2573622
57;0.3363104
58;0.4305459
59;0.5254216
60;0.5713721
61;0.6630565
62;0.7662555
63;0.9653349
64;0.7817989
65;0.6201595
66;0.5369954
67;0.4268127
68;0.4312748
69;0.4457839
70;0.4293048
71;0.6222477
72;0.677014
73;0.3351187
74;0.550914
75;0.4976383
76;0.3976285
77;0.3539562
78;0.3367614
79;0.2704706
80;0.216009
81;0.3505931
82;0.54619
83;0.6510112
84;0.6057449
85;0.6395318
86;0.6892014
87;0.8626268
88;0.766369
89;0.5320473
90;0.5135889
91;0.4731243
92;0.4569209
93;0.4721425
94;0.439036
95;0.5915924
96;0.6678658
97;0.366077
98;0.5492263
99;0.4680557
100;0.4317476
101;0.4190701
102;0.4196673
103;0.2263741
104;0.2585784
105;0.2653603
106;0.2881047
107;0.3976166
108;0.3795348
109;0.3702386
110;0.4843264
111;0.6170355
112;0.5044023
113;0.4660616
114;0.4464577
115;0.4536442
116;0.483103
117;0.7074445
118;0.8730707
119;0.4266226
120;0.3723002
121;0.3731841
122;0.4962559
123;0.4807944
124;0.4027777
125;0.3976271
126;0.3954605
127;0.2434846
128;0.2675829
129;0.2544948
130;0.2902237
131;0.4225921
132;0.3637595
133;0.3786104
134;0.5157946
135;0.6559331
136;0.4964627
137;0.4683267
138;0.48951
139;0.4542242
140;0.5030905
141;0.7422321
142;0.9549807
143;0.4377483
144;0.3136129
145;0.3779658
146;0.5284657
147;0.4486262
148;0.3552971
149;0.3903079
150;0.366402
151;0.2596532
152;0.3016084
153;0.259753
154;0.2918704
155;0.4166684
156;0.3992976
157;0.3680283
158;0.4977152
159;0.6081457
160;0.5424242
161;0.5324667
162;0.517301
163;0.4676432
164;0.4685711
165;0.7267476
166;0.9381299
167;0.4752859
168;0.3874344
169;0.369094
170;0.5043161
171;0.4478512
172;0.3771958
173;0.3792684
174;0.3638184
175;0.2650991
176;0.294591
177;0.2687187
178;0.3230713
