hodina;relativní odbìr
1;0.50854
2;0.41702
3;0.57242
4;0.56488
5;0.4196
6;0.48531
7;0.31576
8;0.31317
9;0.32335
10;0.44195
11;0.55101
12;0.66257
13;0.80133
14;0.79778
15;0.71122
16;0.59961
17;0.56334
18;0.5558
19;0.61979
20;0.68151
21;0.66261
22;0.67571
23;0.75373
24;0.53281
25;0.34595
26;0.27391
27;0.5044
28;0.46612
29;0.37834
30;0.50011
31;0.3279
32;0.34034
33;0.42875
34;0.46748
35;0.58047
36;0.74096
37;0.95582
38;0.91661
39;0.89907
40;0.84424
41;0.68457
42;0.62409
43;0.68509
44;0.69522
45;0.68199
46;0.64895
47;0.72153
48;0.50863
49;0.36275
50;0.26878
51;0.50812
52;0.47663
53;0.3768
54;0.46281
55;0.33067
56;0.34939
57;0.37647
58;0.47755
59;0.63146
60;0.77136
61;0.93427
62;0.84474
63;0.76262
64;0.70368
65;0.68732
66;0.65638
67;0.6806
68;0.72507
69;0.70745
70;0.76472
71;0.81019
72;0.53311
73;0.39755
74;0.44101
75;0.55147
76;0.52089
77;0.43915
78;0.35714
79;0.3793
80;0.38022
81;0.34575
82;0.31471
83;0.3206
84;0.40188
85;0.68349
86;0.685
87;0.55762
88;0.6736
89;0.51383
90;0.56267
91;0.63502
92;0.87567
93;0.72816
94;0.70457
95;0.62118
96;0.41829
97;0.32093
98;0.40848
99;0.54726
100;0.5002
101;0.38873
102;0.36133
103;0.33426
104;0.32323
105;0.34673
106;0.36376
107;0.36582
108;0.41718
109;0.59871
110;0.5948
111;0.59728
112;0.63475
113;0.58023
114;0.58815
115;0.59772
116;0.86303
117;0.77424
118;0.75671
119;0.65156
120;0.4478
121;0.33685
122;0.37026
123;0.53304
124;0.46389
125;0.40789
126;0.3647
127;0.32553
128;0.3061
129;0.31039
130;0.30132
131;0.35592
132;0.44776
133;0.63868
134;0.65384
135;0.57774
136;0.66673
137;0.57658
138;0.60097
139;0.60796
140;0.85917
141;0.79296
142;0.75786
143;0.60121
144;0.36356
145;0.32245
146;0.40022
147;0.56457
148;0.50213
149;0.4195
150;0.38253
151;0.36982
152;0.33355
153;0.30225
154;0.28499
155;0.34716
156;0.43252
157;0.64714
158;0.68267
159;0.63505
160;0.72215
161;0.56785
162;0.58324
163;0.57452
164;0.87399
165;0.79472
166;0.82258
167;0.62418
168;0.41622
169;0.33192
170;0.40168
171;0.59901
172;0.55908
173;0.46065
174;0.35329
175;0.379
176;0.35415
177;0.3378
178;0.31495
179;0.33513
180;0.45939
181;0.60124
182;0.6792
183;0.63647
184;0.77878
185;0.61911
186;0.6294
187;0.62696
188;0.79644
189;0.74652
190;0.75456
191;0.60013
192;0.48868
193;0.39094
194;0.29964
195;0.5011
196;0.439
197;0.33902
198;0.44978
199;0.37118
200;0.3979
201;0.45499
202;0.56667
203;0.63492
204;0.7401
205;0.98782
206;0.83297
207;0.76654
208;0.68624
209;0.6565
210;0.70221
211;0.71937
212;0.67204
213;0.63726
214;0.67459
215;0.66555
216;0.51848
217;0.44281
218;0.32822
219;0.4717
220;0.44848
221;0.34866
222;0.46021
223;0.34097
224;0.32482
225;0.46138
226;0.54094
227;0.69104
228;0.85695
229;0.9823
230;0.82149
231;0.77554
232;0.69599
233;0.57877
234;0.61417
235;0.6601
236;0.7218
237;0.69242
238;0.68724
239;0.75641
240;0.52343
241;0.32049
242;0.38497
243;0.5805
244;0.51782
245;0.40322
246;0.29958
247;0.31738
248;0.33157
249;0.3158
250;0.29261
251;0.34428
252;0.49475
253;0.66126
254;0.65097
255;0.54863
256;0.62469
257;0.57565
258;0.59674
259;0.55759
260;0.85596
261;0.78901
262;0.7988
263;0.62246
264;0.42754
265;0.34325
266;0.43386
267;0.57961
268;0.51421
269;0.38342
270;0.30607
271;0.33581
272;0.29897
273;0.31643
274;0.34025
275;0.35091
276;0.44665
277;0.63003
278;0.65689
279;0.55136
280;0.58168
281;0.53165
282;0.57277
283;0.5765
284;0.82389
285;0.81139
286;0.83094
287;0.71003
288;0.4392
289;0.34146
290;0.42875
291;0.57124
292;0.43883
293;0.35519
294;0.29533
295;0.31036
296;0.30379
297;0.30476
298;0.31401
299;0.35817
300;0.42634
301;0.59651
302;0.6372
303;0.60662
304;0.64372
305;0.5329
306;0.58695
307;0.63247
308;0.81202
309;0.83429
310;0.80147
311;0.61533
312;0.41508
313;0.35233
314;0.41907
315;0.56279
316;0.52568
317;0.43622
318;0.36624
319;0.40882
320;0.31916
321;0.34769
322;0.28267
323;0.40263
324;0.4809
325;0.6082
326;0.65508
327;0.5156
328;0.56099
329;0.50742
330;0.59065
331;0.58212
332;0.82997
333;0.73277
334;0.813
335;0.61272
336;0.40175
337;0.33501
338;0.40694
339;0.59558
340;0.52032
341;0.42133
342;0.36745
343;0.29963
344;0.31263
345;0.30914
346;0.32608
347;0.38733
348;0.46547
349;0.66264
350;0.69878
351;0.6023
352;0.73504
353;0.57873
354;0.53564
355;0.56964
356;0.77933
357;0.75954
358;0.76143
359;0.71171
360;0.46836
361;0.31074
362;0.27628
363;0.48378
364;0.45214
365;0.36167
366;0.53126
367;0.33761
368;0.39189
369;0.41079
370;0.48179
371;0.63101
372;0.71703
373;0.98705
374;0.91414
375;0.90577
376;0.78046
377;0.71464
378;0.67566
379;0.67766
380;0.67876
381;0.67894
382;0.70979
383;0.70104
384;0.52374
385;0.35243
386;0.29455
387;0.5312
388;0.49173
389;0.36653
390;0.48203
391;0.32995
392;0.35585
393;0.46361
394;0.56482
395;0.65444
396;0.84332
397;0.98909
398;0.8215
399;0.80726
400;0.61139
401;0.54823
402;0.53518
403;0.64319
404;0.69368
405;0.63482
406;0.74057
407;0.78455
408;0.54893
409;0.36695
410;0.37179
411;0.5462
412;0.53059
413;0.4187
414;0.3631
415;0.33172
416;0.30908
417;0.28741
418;0.30761
419;0.37074
420;0.44932
421;0.57344
422;0.6355
423;0.58193
424;0.74776
425;0.56764
426;0.61508
427;0.58993
428;0.86102
429;0.79151
430;0.77669
431;0.63429
432;0.44149
433;0.31628
434;0.39108
435;0.57431
436;0.46703
437;0.45456
438;0.39289
439;0.35496
440;0.32981
441;0.32995
442;0.29844
443;0.32602
444;0.38209
445;0.64809
446;0.67709
447;0.57634
448;0.69743
449;0.54216
450;0.5406
451;0.57081
452;0.84538
453;0.72135
454;0.77467
455;0.64251
456;0.37254
457;0.28224
458;0.36452
459;0.57043
460;0.52487
461;0.424
462;0.3713
463;0.33494
464;0.29773
465;0.27846
466;0.32162
467;0.30422
468;0.441
469;0.54802
470;0.59635
471;0.5614
472;0.65229
473;0.61137
474;0.57547
475;0.58552
476;0.86168
477;0.76763
478;0.79088
479;0.60449
480;0.40001
