hodina;relativní odbìr
1;0.4239043
2;0.3738499
3;0.4785678
4;0.4427844
5;0.6218527
6;0.5404021
7;0.314194
8;0.2994995
9;0.3273657
10;0.4723148
11;0.6063512
12;0.588752
13;0.6983614
14;0.5969415
15;0.5711024
16;0.8290898
17;0.7389153
18;0.6723004
19;0.6007538
20;0.5835983
21;0.6268047
22;0.5761956
23;0.5525249
24;0.4153618
25;0.2690495
26;0.32472
27;0.3994036
28;0.3870159
29;0.5353318
30;0.4245957
31;0.2929224
32;0.2826968
33;0.2620671
34;0.3514494
35;0.4262619
36;0.5028102
37;0.528399
38;0.4552229
39;0.4578512
40;0.8516114
41;0.7082843
42;0.6246942
43;0.6213816
44;0.6605285
45;0.6915227
46;0.5730108
47;0.4860386
48;0.3454688
49;0.2735407
50;0.2416203
51;0.3610147
52;0.3643315
53;0.537428
54;0.5919916
55;0.4142219
56;0.4343701
57;0.3898955
58;0.4851218
59;0.6071399
60;0.6802082
61;0.8258497
62;0.6277931
63;0.6949506
64;0.914492
65;0.7060098
66;0.6076647
67;0.6736043
68;0.5711899
69;0.578378
70;0.5015474
71;0.6494364
72;0.4739537
73;0.2913956
74;0.2535602
75;0.3743326
76;0.3967409
77;0.567187
78;0.4626775
79;0.3397616
80;0.3349043
81;0.3805959
82;0.470691
83;0.5710217
84;0.7104562
85;0.8733608
86;0.7533455
87;0.6776353
88;0.8856809
89;0.7057464
90;0.6536736
91;0.665974
92;0.6158578
93;0.6435756
94;0.5583574
95;0.6269489
96;0.4267201
97;0.2542289
98;0.3362461
99;0.4774033
100;0.412325
101;0.5861916
102;0.4482373
103;0.3710681
104;0.3158805
105;0.2403079
106;0.3158416
107;0.3683521
108;0.4096965
109;0.4981874
110;0.4273363
111;0.4343455
112;0.8235109
113;0.5908352
114;0.5986719
115;0.563626
116;0.6982996
117;0.6610244
118;0.5886449
119;0.4754076
120;0.3260341
121;0.2767647
122;0.3796205
123;0.404094
124;0.3911224
125;0.5796404
126;0.4123012
127;0.3558868
128;0.3047105
129;0.2808091
130;0.3332974
131;0.3589251
132;0.3934109
133;0.5000251
134;0.3918129
135;0.40148
136;0.772558
137;0.5544863
138;0.6247699
139;0.6425258
140;0.743823
141;0.6789845
142;0.6516799
143;0.4996206
144;0.2786587
145;0.2342074
146;0.4027659
147;0.4161489
148;0.3940121
149;0.5785748
150;0.4440326
151;0.3791652
152;0.2925664
153;0.2443856
154;0.2842774
155;0.3039711
156;0.3373544
157;0.4947456
158;0.431164
159;0.4835387
160;0.8113875
161;0.5942328
162;0.5921655
163;0.6428785
164;0.7118509
165;0.695728
166;0.6153805
167;0.4898692
168;0.3328044
169;0.2594301
170;0.349935
171;0.4166096
172;0.4304
173;0.5986177
174;0.3954443
175;0.3578236
176;0.363144
177;0.2638783
178;0.2990375
179;0.3189042
180;0.3711876
181;0.4947778
182;0.3777484
183;0.4136538
184;0.8624766
185;0.6309374
186;0.655262
187;0.6489435
188;0.7300965
189;0.6527908
190;0.6211107
191;0.5368371
192;0.3214626
193;0.2630783
194;0.4084333
195;0.4302585
196;0.3812872
197;0.5749786
198;0.4533999
199;0.365259
200;0.3222714
201;0.2396196
202;0.3192096
203;0.3329227
204;0.3897913
205;0.4647979
206;0.4347953
207;0.4576753
208;0.879551
209;0.6098915
210;0.6068202
211;0.6083418
212;0.6456631
213;0.6504053
214;0.5247658
215;0.4355141
216;0.3215527
217;0.2457673
218;0.2348913
219;0.3337828
220;0.3386206
221;0.4873839
222;0.4665391
223;0.3688296
224;0.3735758
225;0.385258
226;0.4709738
227;0.6370085
228;0.6543348
229;0.6702869
230;0.5379154
231;0.6515586
232;0.8931844
233;0.6660538
234;0.6335725
235;0.6576609
236;0.5404443
237;0.5097955
238;0.4757658
239;0.5092824
240;0.3518147
241;0.2601493
242;0.2266973
243;0.349361
244;0.3611495
245;0.5514359
246;0.471978
247;0.3547559
248;0.3544292
249;0.3681684
250;0.5077448
251;0.5873707
252;0.6930844
253;0.7541549
254;0.5914122
255;0.5641858
256;0.8318394
257;0.6326859
258;0.6310152
259;0.6639072
260;0.5882201
261;0.5808558
262;0.5627017
263;0.5682646
264;0.4185798
265;0.2721258
266;0.3761037
267;0.4508708
268;0.4401176
269;0.5744174
270;0.445407
271;0.374662
272;0.3151109
273;0.2430895
274;0.334496
275;0.3223562
276;0.3432565
277;0.4145433
278;0.3364152
279;0.3915677
280;0.7542093
281;0.5576678
282;0.5713136
283;0.6313789
284;0.717992
285;0.6138396
286;0.5567036
287;0.4496128
288;0.2978838
289;0.2265583
290;0.3811226
291;0.4810368
292;0.4374577
293;0.5283612
294;0.4161672
295;0.3599145
296;0.3116836
297;0.2631596
298;0.3006308
299;0.3456751
300;0.3782381
301;0.4679787
302;0.4147021
303;0.4461021
304;0.7346454
305;0.5967106
306;0.5515015
307;0.5985786
308;0.6882459
309;0.6974397
310;0.548681
311;0.4497192
312;0.2956493
313;0.2203483
314;0.3499557
315;0.3918404
316;0.3740995
317;0.5240347
318;0.3723749
319;0.3235829
320;0.2969716
321;0.3097773
322;0.2894863
323;0.3090527
324;0.3631284
325;0.4731695
326;0.3928953
327;0.4081135
328;0.6845556
329;0.5828896
330;0.5143203
331;0.567598
332;0.6931876
333;0.6917749
334;0.6232423
335;0.5411793
336;0.3076767
337;0.2065607
338;0.3814899
339;0.4379507
340;0.3881891
341;0.5284885
342;0.4037894
343;0.3891729
344;0.3290673
345;0.2560037
346;0.3047347
347;0.3745189
348;0.4070406
349;0.4979344
350;0.421985
351;0.3978678
352;0.7800604
353;0.5733498
354;0.5357592
355;0.6087666
356;0.6931673
357;0.7532542
358;0.620591
359;0.4835334
360;0.3065336
361;0.2077873
362;0.3783644
363;0.4652514
364;0.4173245
365;0.5795685
366;0.4520472
367;0.3601281
368;0.336387
369;0.3005576
370;0.3158144
371;0.3279593
372;0.3948413
373;0.5445148
374;0.4227254
375;0.4273507
376;0.8079
377;0.6898184
378;0.5828601
379;0.6396687
380;0.7143541
381;0.6507826
382;0.5950901
383;0.5232802
384;0.3356208
385;0.2613148
386;0.2418684
387;0.3862333
388;0.4009005
389;0.5426577
390;0.5067409
391;0.3891997
392;0.3762483
393;0.4116513
394;0.4938671
395;0.62752
396;0.7567427
397;0.852162
398;0.6698543
399;0.7026883
400;0.9143304
401;0.7188193
402;0.7679006
403;0.6912298
404;0.5977203
405;0.5931253
406;0.5065858
407;0.5280389
408;0.4071532
409;0.2832474
410;0.2509255
411;0.4693742
412;0.4192065
413;0.5707746
414;0.4917129
415;0.346613
416;0.3746744
417;0.4032392
418;0.5399536
419;0.7127372
420;0.6785369
421;0.7850693
422;0.6622016
423;0.6450627
424;0.9044608
425;0.6399985
426;0.6608073
427;0.6798731
428;0.6244573
429;0.6369967
430;0.5325655
431;0.5454342
432;0.4121379
433;0.2860246
434;0.361135
435;0.4262808
436;0.3739907
437;0.5473498
438;0.376612
439;0.3402903
440;0.3236473
441;0.2622985
442;0.3246688
443;0.3326578
444;0.3837915
445;0.4651177
446;0.404694
447;0.4443212
448;0.7926101
449;0.6495015
450;0.6294566
451;0.6983993
452;0.7780005
453;0.7584761
454;0.6561799
455;0.4867527
456;0.2845598
457;0.2338112
458;0.3748106
459;0.4004002
460;0.3936518
461;0.5464826
462;0.4026464
463;0.3541588
464;0.3197586
465;0.3230795
466;0.3612461
467;0.3476816
468;0.3958012
469;0.5312528
470;0.4171307
471;0.4293301
472;0.7751624
473;0.6883727
474;0.5474024
475;0.6389169
476;0.7287564
477;0.7034476
478;0.6015636
479;0.4413842
480;0.2865492
481;0.2611995
482;0.3748536
483;0.3985814
484;0.3696366
485;0.5311038
486;0.3989003
487;0.4111313
488;0.3362862
489;0.2891976
490;0.3619366
491;0.3248377
492;0.4042815
493;0.5321472
494;0.3693371
495;0.4435252
496;0.7841203
497;0.5650145
498;0.5270461
499;0.5638938
500;0.7333218
501;0.6960007
502;0.6280247
503;0.4444817
504;0.2841062
505;0.2213612
506;0.3487219
507;0.391485
508;0.3857686
509;0.5823298
510;0.4615569
511;0.335891
512;0.3068875
513;0.2919501
514;0.324822
515;0.3443364
516;0.4165914
517;0.5103812
518;0.4193012
519;0.4446182
520;0.7482884
521;0.5834022
522;0.538274
523;0.5955437
524;0.6964192
525;0.7507493
526;0.6384505
527;0.4687862
528;0.3087738
529;0.2540635
530;0.4029592
531;0.4768466
532;0.4315199
533;0.5830865
534;0.4798879
535;0.3584318
536;0.3347645
537;0.3182422
538;0.3656256
539;0.3303878
540;0.3602839
541;0.5400505
