hodina;relativní odbìr
1;0.4278
2;0.42175
3;0.47752
4;0.83856
5;0.63729
6;0.4965
7;0.51374
8;0.47818
9;0.37571
10;0.38502
11;0.42887
12;0.48247
13;0.43381
14;0.42909
15;0.93
16;0.74709
17;0.61265
18;0.47257
19;0.51305
20;0.53368
21;0.48255
22;0.42183
23;0.38413
24;0.3451
25;0.34988
26;0.58727
27;0.93288
28;0.6929
29;0.5477
30;0.49933
31;0.4341
32;0.33073
33;0.36732
34;0.41056
35;0.43479
36;0.47934
37;0.64362
38;1
39;0.78258
40;0.61648
41;0.47243
42;0.4657
43;0.47808
44;0.47284
45;0.47461
46;0.42395
47;0.42257
48;0.38025
49;0.35039
50;0.34537
51;0.68553
52;0.88737
53;0.63276
54;0.53356
55;0.50583
56;0.42103
57;0.39232
58;0.39259
59;0.4231
60;0.48628
61;0.51332
62;0.72496
63;0.95058
64;0.79045
65;0.65553
66;0.56256
67;0.5481
68;0.54828
69;0.51216
70;0.47104
71;0.42504
72;0.36105
73;0.60894
74;0.87004
75;0.60571
76;0.5269
77;0.42865
78;0.37327
79;0.3445
80;0.35521
81;0.33894
82;0.34331
83;0.35103
84;0.36987
85;0.53573
86;0.83117
87;0.68518
88;0.56715
89;0.49018
90;0.45574
91;0.50011
92;0.50754
93;0.46144
94;0.41829
95;0.37762
96;0.34379
97;0.63831
98;0.8806
99;0.61409
100;0.47936
101;0.40539
102;0.4173
103;0.35514
104;0.37108
105;0.35053
106;0.33824
107;0.33145
108;0.35239
109;0.4894
110;0.84453
111;0.66425
112;0.54823
113;0.49869
114;0.48791
115;0.55793
116;0.51433
117;0.48696
118;0.44292
119;0.38775
120;0.35108
121;0.6274
122;0.88751
123;0.65502
124;0.51658
125;0.47163
126;0.38235
127;0.35098
128;0.34387
129;0.32929
130;0.34379
131;0.3545
132;0.33387
133;0.48589
134;0.86414
135;0.72983
136;0.53135
137;0.44913
138;0.46534
139;0.49227
140;0.47483
141;0.46359
142;0.41071
143;0.37508
144;0.33259
145;0.67402
146;0.94256
147;0.65303
148;0.52375
149;0.44524
150;0.40245
151;0.37625
152;0.36279
153;0.36957
154;0.3629
155;0.37154
156;0.37232
157;0.49554
158;0.83135
159;0.71052
160;0.56168
161;0.49044
162;0.48785
163;0.48608
164;0.49466
165;0.47376
166;0.44534
167;0.40489
168;0.35786
