hodina;relativní odbìr
1;0.5948144
2;0.8583957
3;0.6299175
4;0.4484354
5;0.3722625
6;0.2930206
7;0.2435915
8;0.2303963
9;0.2471957
10;0.3524041
11;0.403711
12;0.4095463
13;0.694985
14;0.7649691
15;0.6357226
16;0.5288585
17;0.4291322
18;0.4548967
19;0.4299298
20;0.3943522
21;0.4205306
22;0.3809247
23;0.3425607
24;0.2910721
25;0.543532
26;0.8126101
27;0.6470258
28;0.4952787
29;0.3825372
30;0.3321317
31;0.2739723
32;0.2513198
33;0.2737266
34;0.2756036
35;0.2875736
36;0.3154642
37;0.4663268
38;0.506492
39;0.6995639
40;0.5806801
41;0.48381
42;0.4087963
43;0.3949493
44;0.4408047
45;0.473609
46;0.397023
47;0.3447306
48;0.2985903
49;0.2932316
50;0.3015008
51;0.6973498
52;0.6361669
53;0.4966363
54;0.4077391
55;0.3611767
56;0.3129702
57;0.3190082
58;0.3337853
59;0.4716033
60;0.4854214
61;0.4899719
62;0.6900787
63;0.9626224
64;0.6339944
65;0.5400671
66;0.4695874
67;0.5816484
68;0.4730419
69;0.4581376
70;0.3931186
71;0.3718925
72;0.339608
73;0.2901501
74;0.2607454
75;0.5369136
76;0.8682748
77;0.5604683
78;0.4334412
79;0.3794859
80;0.3360992
81;0.2955457
82;0.4659691
83;0.4311592
84;0.4406836
85;0.4744782
86;0.5680298
87;0.8974184
88;0.7266179
89;0.5962645
90;0.4675936
91;0.5060102
92;0.4884408
93;0.4850662
94;0.4085038
95;0.358803
96;0.3066945
97;0.532725
98;0.7945323
99;0.6889272
100;0.5371745
101;0.3921584
102;0.3176899
103;0.3295103
104;0.2757131
105;0.2886963
106;0.2684959
107;0.2882158
108;0.2927422
109;0.5826013
110;0.6286912
111;0.5513301
112;0.3715832
113;0.3292605
114;0.3662593
115;0.4907386
116;0.559268
117;0.4449946
118;0.3826637
119;0.3150472
120;0.2930112
121;0.5189435
122;0.8397648
123;0.652884
124;0.4560825
125;0.370161
126;0.2953246
127;0.3081707
128;0.2935439
129;0.2924383
130;0.2995708
131;0.3229149
132;0.4347538
133;0.6394606
134;0.5830276
135;0.5231995
136;0.386999
137;0.3286776
138;0.3874392
139;0.5352825
140;0.4659544
141;0.4508873
142;0.4300184
143;0.355319
144;0.3048834
145;0.5653246
146;0.8726515
147;0.7058523
148;0.5095087
149;0.3743277
150;0.323426
151;0.330011
152;0.3050762
153;0.2964959
154;0.2945106
155;0.2889378
156;0.2863333
157;0.6020242
158;0.642547
159;0.4957979
160;0.3864953
161;0.3554078
162;0.4194208
163;0.5480363
164;0.4695854
165;0.451668
166;0.4079804
167;0.3491078
168;0.3039754
169;0.5550334
170;0.9050063
171;0.6430105
172;0.4548913
173;0.4003871
174;0.3216292
175;0.3510407
176;0.3137734
177;0.3055267
178;0.2756386
179;0.2990534
180;0.2926467
181;0.6528969
182;0.6087559
183;0.5109209
184;0.4076614
185;0.377735
186;0.4028373
187;0.4412295
188;0.4809088
189;0.4649303
190;0.3897284
191;0.3147077
192;0.2901298
193;0.5285139
194;0.793123
195;0.5454777
196;0.3981616
197;0.331216
198;0.3181388
199;0.278016
200;0.2733985
201;0.2714908
202;0.2787024
203;0.265652
204;0.2634859
205;0.4022265
206;0.449552
207;0.6409755
208;0.5431332
209;0.468459
210;0.4138595
211;0.4674339
212;0.4017808
213;0.3709911
214;0.3402461
215;0.3145197
216;0.2820453
217;0.2413355
218;0.2560585
219;0.612706
220;0.5998141
221;0.4390597
222;0.3350666
223;0.3260614
224;0.2488177
225;0.2642315
226;0.3554241
227;0.4083653
228;0.3956564
229;0.36388
230;0.5253003
231;0.8295393
232;0.5385668
233;0.4867825
234;0.4120523
235;0.4125267
236;0.3888317
237;0.3700722
238;0.311122
239;0.277498
240;0.2550931
241;0.2428092
242;0.2199177
243;0.4605781
244;0.7848345
245;0.5563304
246;0.3842674
247;0.3368493
248;0.3321409
249;0.2579789
250;0.331456
251;0.4100097
252;0.3793364
253;0.375407
254;0.4899159
255;0.8405224
256;0.6691357
257;0.4878785
258;0.3844044
259;0.3729158
260;0.4043424
261;0.3867757
262;0.3542962
263;0.3034452
264;0.2595027
265;0.4462201
266;0.6594262
267;0.575786
268;0.4367415
269;0.350315
270;0.2808666
271;0.2813526
272;0.2559984
273;0.2732976
274;0.2588281
275;0.3063076
276;0.2474487
277;0.5440694
278;0.6073464
279;0.5033777
280;0.3563737
281;0.3456712
282;0.357693
283;0.4362468
284;0.4644914
285;0.3924737
286;0.3630746
287;0.3079654
288;0.2520577
289;0.4345238
290;0.7303605
291;0.5859214
292;0.4082868
293;0.3113597
294;0.269243
295;0.2605936
296;0.2575519
297;0.2615112
298;0.2795916
299;0.2638137
300;0.2402022
301;0.5518338
302;0.5863887
303;0.5155456
304;0.4010309
305;0.3417344
306;0.3896797
307;0.389994
308;0.3857968
309;0.3916338
310;0.338013
311;0.2969158
312;0.239599
313;0.474952
314;0.7595048
315;0.6009541
316;0.4354702
317;0.3186554
318;0.2808727
319;0.313669
320;0.2498525
321;0.2613197
322;0.254634
323;0.2420996
324;0.2590057
325;0.5341492
326;0.5735542
327;0.4616832
328;0.3304641
329;0.3172637
330;0.3407615
331;0.4065845
332;0.43588
333;0.4012992
334;0.3346309
335;0.3042937
336;0.2611233
337;0.507409
338;0.7846119
339;0.5797694
340;0.4295629
341;0.3632111
342;0.2991724
343;0.3092665
344;0.2881832
345;0.3012639
346;0.2951046
347;0.2709195
348;0.3040289
349;0.5512329
350;0.6401569
351;0.5016308
352;0.3702921
353;0.3446447
354;0.3574506
355;0.4305112
356;0.4303339
357;0.3961078
358;0.3678018
359;0.3039226
360;0.2595758
361;0.5170767
362;0.843297
363;0.5882168
364;0.4455123
365;0.3409106
366;0.2940677
367;0.2758651
368;0.2827002
369;0.2652289
370;0.2671882
371;0.2529765
372;0.2857881
373;0.4032743
374;0.4709562
375;0.6384455
376;0.5804608
377;0.4475348
378;0.373343
379;0.3700835
380;0.3740834
381;0.345407
382;0.3234935
383;0.2919549
384;0.2672243
385;0.256332
386;0.2772899
387;0.6268783
388;0.6102197
389;0.4305412
390;0.357342
391;0.3564877
392;0.2988699
393;0.316977
394;0.4076055
395;0.3635634
396;0.403687
397;0.3812341
398;0.5935612
399;0.9119403
400;0.6140454
401;0.5218848
402;0.4951512
403;0.4574605
404;0.399072
405;0.3746041
406;0.3366906
407;0.3211927
408;0.286687
409;0.2683535
410;0.2453592
411;0.501721
412;0.7859204
413;0.5482321
414;0.40421
415;0.3559071
416;0.3408265
417;0.3004559
418;0.3730968
419;0.3988254
420;0.4850726
421;0.4607065
422;0.506975
423;0.9332087
424;0.6372322
425;0.5851872
426;0.5010491
427;0.4806025
428;0.4409691
429;0.4265977
430;0.3803665
