hodina;relativní odbìr
1;0.49627
2;0.43467
3;0.48334
4;0.62698
5;0.4387
6;0.28259
7;0.22739
8;0.24122
9;0.2263
10;0.31273
11;0.39047
12;0.51754
13;0.56557
14;0.76312
15;0.78788
16;0.7801
17;0.67117
18;0.5397
19;0.46216
20;0.4662
21;0.46721
22;0.44866
23;0.34271
24;0.25799
25;0.38827
26;0.35686
27;0.39737
28;0.62272
29;0.45498
30;0.339
31;0.29149
32;0.29235
33;0.31467
34;0.41153
35;0.53855
36;0.632
37;0.65436
38;0.75748
39;0.8428
40;0.79748
41;0.70644
42;0.63392
43;0.51428
44;0.48567
45;0.47969
46;0.47519
47;0.39034
48;0.29325
49;0.35969
50;0.30784
51;0.35733
52;0.52453
53;0.34706
54;0.29355
55;0.27665
56;0.25895
57;0.29479
58;0.40821
59;0.57568
60;0.66604
61;0.60395
62;0.83789
63;0.90503
64;0.86908
65;0.74015
66;0.59534
67;0.57744
68;0.52244
69;0.47852
70;0.45681
71;0.33267
72;0.26725
73;0.4369
74;0.44138
75;0.43715
76;0.42345
77;0.31628
78;0.32988
79;0.34736
80;0.2927
81;0.27863
82;0.25862
83;0.31162
84;0.32121
85;0.33156
86;0.4617
87;0.51658
88;0.77871
89;0.76591
90;0.73439
91;0.54026
92;0.52079
93;0.48063
94;0.46092
95;0.32667
96;0.26157
97;0.41573
98;0.42794
99;0.47574
100;0.39
101;0.31793
102;0.31186
103;0.33986
104;0.30491
105;0.24303
106;0.28285
107;0.29912
108;0.30395
109;0.35909
110;0.46468
111;0.6
112;0.82422
113;0.78537
114;0.73485
115;0.53766
116;0.48948
117;0.45142
118;0.43283
119;0.33123
120;0.26549
121;0.50252
122;0.48436
123;0.46692
124;0.42293
125;0.32096
126;0.30409
127;0.32453
128;0.32453
129;0.28103
130;0.26155
131;0.28371
132;0.31728
133;0.32253
134;0.39568
135;0.53191
136;0.7296
137;0.751
138;0.73567
139;0.56326
140;0.49769
141;0.47984
142;0.43093
143;0.33424
144;0.27319
