hodina;relativní odbìr
1;0.5225467
2;0.478602
3;0.4675902
4;0.6196978
5;0.4660449
6;0.3073569
7;0.2652032
8;0.2805132
9;0.2582338
10;0.3251743
11;0.4511238
12;0.6122781
13;0.6251934
14;0.7786723
15;0.8187997
16;0.8105204
17;0.6683603
18;0.6140793
19;0.5788233
20;0.503972
21;0.5179311
22;0.4738227
23;0.3870386
24;0.3636233
25;0.4952549
26;0.5021004
27;0.4479888
28;0.4296806
29;0.4047176
30;0.3468219
31;0.2671752
32;0.3036712
33;0.3260546
34;0.3858774
35;0.3949512
36;0.4294999
37;0.5023513
38;0.4944117
39;0.5783343
40;0.8430805
41;0.7225214
42;0.6407468
43;0.544699
44;0.5261098
45;0.5090462
46;0.4820557
47;0.3807082
48;0.328845
49;0.436443
50;0.3917835
51;0.3711325
52;0.6011843
53;0.4110936
54;0.299435
55;0.2766185
56;0.3470048
57;0.3867871
58;0.4735433
59;0.6198487
60;0.7280506
61;0.6770736
62;0.815224
63;0.8931198
64;0.8785975
65;0.79203
66;0.6736666
67;0.5634483
68;0.5236859
69;0.4728579
70;0.4485713
71;0.3838171
72;0.3624509
73;0.4576843
74;0.4170292
75;0.3486732
76;0.5255253
77;0.4238133
78;0.3063741
79;0.2755138
80;0.3000059
81;0.3791967
82;0.5056781
83;0.6463517
84;0.746281
85;0.6695167
86;0.7742692
87;0.8123592
88;0.8819334
89;0.6735079
90;0.6049934
91;0.5482843
92;0.4955663
93;0.4753428
94;0.4537525
95;0.3663119
96;0.3130096
97;0.527857
98;0.526279
99;0.4640151
100;0.4321977
101;0.3740762
102;0.3375642
103;0.3010521
104;0.3180457
105;0.2535331
106;0.2796202
107;0.3050071
108;0.3423378
109;0.3604261
110;0.4614705
111;0.5137137
112;0.7842109
113;0.780177
114;0.7164041
115;0.5615878
116;0.5240796
117;0.5324629
118;0.49529
119;0.3800728
120;0.3270603
121;0.5315085
122;0.5036272
123;0.4836309
124;0.4424626
125;0.3512985
126;0.3574302
127;0.3730583
128;0.3281705
129;0.291036
130;0.2776781
131;0.3269442
132;0.3646159
133;0.462459
134;0.4447836
135;0.5031103
136;0.7797952
137;0.7194718
138;0.6614997
139;0.5572717
140;0.538603
141;0.5585183
142;0.5418057
143;0.3923351
144;0.3352143
145;0.5547563
146;0.5604458
147;0.4856383
148;0.448265
149;0.3902205
150;0.3436668
151;0.3181406
152;0.3533358
153;0.2980597
154;0.2974897
155;0.3374583
156;0.3705364
157;0.3987496
158;0.463654
159;0.4754705
160;0.7199538
161;0.7516986
162;0.6805755
163;0.5544001
164;0.5330673
165;0.5723743
166;0.5140346
167;0.3851621
168;0.3374278
169;0.5224549
170;0.5275355
171;0.473953
172;0.4388215
173;0.346033
174;0.343055
175;0.3281956
176;0.318125
177;0.2999556
178;0.3343627
179;0.3547856
180;0.40036
181;0.448379
182;0.4765888
183;0.5151912
184;0.7937681
185;0.7413224
186;0.6758785
187;0.5924463
188;0.5116901
189;0.5240043
190;0.4431677
191;0.3860639
192;0.316807
193;0.4827479
194;0.4827192
195;0.4559754
196;0.4636083
197;0.3676613
198;0.3441408
199;0.3275455
200;0.3358192
201;0.2777785
202;0.2754925
203;0.3007155
204;0.3222273
205;0.4283706
206;0.4745029
207;0.4777454
208;0.7534388
209;0.65687
210;0.6184472
211;0.5471876
212;0.5003954
213;0.5213142
214;0.4983007
215;0.3809184
216;0.3374453
217;0.4207069
218;0.3884466
219;0.3237477
220;0.4741517
221;0.3559892
222;0.2819042
223;0.2709787
224;0.3329368
225;0.3332278
226;0.3802713
227;0.5203504
228;0.6018693
229;0.5797086
230;0.7290144
231;0.796454
232;0.7895082
233;0.6609552
234;0.6007148
235;0.5399675
236;0.5051824
237;0.4726312
238;0.4324584
239;0.3690454
240;0.3267701
241;0.4404876
242;0.3982501
243;0.3406946
244;0.4852221
245;0.367979
246;0.2815064
247;0.2597058
248;0.3662695
249;0.3406178
250;0.4982736
251;0.5869935
252;0.7114587
253;0.5974904
254;0.7297923
255;0.7096339
256;0.7871558
257;0.6651684
258;0.6119538
259;0.5364007
260;0.4939807
261;0.4650829
262;0.4456449
263;0.3316766
264;0.2857417
265;0.5011115
266;0.5058373
