hodina;relativní odbìr
1;0.7378
2;0.59358
3;0.48941
4;0.58295
5;0.57139
6;0.35908
7;0.26526
8;0.26394
9;0.33938
10;0.35974
11;0.45023
12;0.48299
13;0.46161
14;0.65761
15;0.81666
16;0.75372
17;0.70128
18;0.66068
19;0.51473
20;0.45707
21;0.44157
22;0.35677
23;0.33814
24;0.51269
25;0.66006
26;0.48598
27;0.3984
28;0.5481
29;0.54061
30;0.37327
31;0.27533
32;0.31063
33;0.37492
34;0.41482
35;0.55214
36;0.54635
37;0.54075
38;0.67486
39;0.90006
40;0.8734
41;0.76736
42;0.56868
43;0.4464
44;0.45255
45;0.39742
46;0.32877
47;0.34171
48;0.49347
49;0.66529
50;0.50004
51;0.44741
52;0.52279
53;0.47196
54;0.36781
55;0.26633
56;0.26688
57;0.33067
58;0.36407
59;0.47497
60;0.57869
61;0.52192
62;0.74601
63;0.92109
64;0.85555
65;0.76493
66;0.61028
67;0.49788
68;0.46376
69;0.39479
70;0.34018
71;0.3014
72;0.49218
73;0.79033
74;0.84774
75;0.69601
76;0.46331
77;0.37674
78;0.35098
79;0.32026
80;0.27333
81;0.2492
82;0.23647
83;0.25499
84;0.31488
85;0.30844
86;0.33231
87;0.6204
88;0.81219
89;0.6327
90;0.52577
91;0.62237
92;0.53779
93;0.38722
94;0.35034
95;0.32957
96;0.37753
97;0.78979
98;0.71657
99;0.61218
100;0.44889
101;0.35929
102;0.33407
103;0.297
104;0.28135
105;0.23776
106;0.24657
107;0.26912
108;0.31176
109;0.33651
110;0.33223
111;0.59336
112;0.7695
113;0.64004
114;0.52173
115;0.6959
116;0.54514
117;0.36872
118;0.31665
119;0.35472
120;0.39897
121;0.80627
122;0.74771
123;0.59754
124;0.43689
125;0.3361
126;0.31711
127;0.30881
128;0.2602
129;0.23245
130;0.26111
131;0.28177
132;0.30873
133;0.32865
134;0.37598
135;0.70587
136;0.84699
137;0.694
138;0.53338
139;0.59356
140;0.52275
141;0.39707
142;0.33546
143;0.33139
144;0.39449
145;0.83687
146;0.80533
147;0.6667
148;0.44785
149;0.3439
150;0.36533
151;0.31624
152;0.25939
153;0.26157
154;0.30043
155;0.3211
156;0.33838
157;0.32451
158;0.33178
159;0.6527
160;0.79212
161;0.64903
162;0.54535
163;0.65923
164;0.52193
165;0.42037
166;0.34847
167;0.34074
168;0.40826
169;0.78623
170;0.74025
171;0.60335
172;0.46597
173;0.32637
174;0.29221
175;0.3117
176;0.28443
177;0.27023
178;0.26274
179;0.24702
180;0.2962
181;0.32475
182;0.36819
183;0.70517
184;0.92689
185;0.65035
186;0.53417
187;0.61934
188;0.52029
189;0.41691
190;0.33917
191;0.34957
192;0.41806
193;0.65312
194;0.45386
195;0.33376
196;0.49227
197;0.52266
198;0.31186
199;0.29734
200;0.2977
201;0.44243
202;0.42756
203;0.5024
204;0.58676
205;0.57941
206;0.65476
207;0.82211
208;0.85141
209;0.82673
210;0.64605
211;0.45653
212;0.42236
213;0.39716
214;0.33693
215;0.32107
216;0.51055
217;0.65056
218;0.54608
219;0.45823
220;0.48197
221;0.44803
222;0.31481
223;0.24761
224;0.27453
225;0.39895
226;0.44448
227;0.51272
228;0.57397
229;0.55384
230;0.73907
231;0.8908
232;0.80439
233;0.77983
234;0.62961
235;0.46844
236;0.4409
237;0.37096
238;0.31409
239;0.27952
240;0.45551
241;0.76165
242;0.82178
243;0.63628
