hodina;relativní odbìr
1;0.5315262
2;0.4741946
3;0.3848043
4;0.5388195
5;0.6215932
6;0.3961174
7;0.2856232
8;0.3010954
9;0.3495516
10;0.2995929
11;0.3689938
12;0.4785825
13;0.5218449
14;0.6794222
15;0.7653301
16;0.7749418
17;0.6229264
18;0.8764412
19;0.7414303
20;0.5510381
21;0.4350814
22;0.3611533
23;0.3074832
24;0.291822
25;0.5556964
26;0.7528588
27;0.5794364
28;0.3979899
29;0.3265255
30;0.3293696
31;0.2723408
32;0.2449943
33;0.2547288
34;0.3032546
35;0.374504
36;0.3537547
37;0.4235967
38;0.423538
39;0.7621339
40;0.8328555
41;0.5709725
42;0.6023554
43;0.6871022
44;0.4882391
45;0.4251898
46;0.3708194
47;0.3753836
48;0.3205245
49;0.4575107
50;0.3416235
51;0.2838952
52;0.4933474
53;0.6077471
54;0.4336619
55;0.3154652
56;0.3462132
57;0.4416082
58;0.4060063
59;0.5041806
60;0.6191675
61;0.6465393
62;0.7185161
63;0.799917
64;0.7502525
65;0.6439459
66;0.8372902
67;0.6908606
68;0.5272954
69;0.4314502
70;0.4060455
71;0.3421519
72;0.3656386
73;0.4659788
74;0.4018179
75;0.402827
76;0.5294605
77;0.5409673
78;0.3626985
79;0.2652008
80;0.3483101
81;0.4250063
82;0.4028561
83;0.5693464
84;0.6243095
85;0.5131122
86;0.6887614
87;0.7712207
88;0.7545232
89;0.5948924
90;0.8532337
91;0.6779144
92;0.5104829
93;0.4441294
94;0.412568
95;0.3253838
96;0.3071047
97;0.6141069
98;0.8959631
99;0.6572364
100;0.3987851
101;0.3127657
102;0.3962645
103;0.3265767
104;0.248426
105;0.2541766
106;0.2552501
107;0.3106571
108;0.3086157
109;0.2993189
110;0.3876865
111;0.6882226
112;0.7265599
113;0.5829769
114;0.6147682
115;0.6271512
116;0.4744439
117;0.438541
118;0.3919515
119;0.3644253
120;0.2885173
121;0.6226041
122;0.7160968
123;0.5037093
124;0.3623917
125;0.3160371
126;0.3377537
127;0.3057737
128;0.2736873
129;0.2932274
130;0.2614022
131;0.3148957
132;0.3257685
133;0.2799266
134;0.3745124
135;0.6483835
136;0.8238286
137;0.6658729
138;0.6259801
139;0.6592273
140;0.4728804
141;0.4337615
142;0.4039096
143;0.379852
144;0.3424453
145;0.6300811
146;0.7115552
147;0.5910368
148;0.3825723
149;0.3316739
150;0.3150164
151;0.2840356
152;0.2621408
153;0.2526208
154;0.2710916
155;0.2913372
156;0.3583529
157;0.3146017
158;0.4305
159;0.6892456
160;0.8037067
161;0.5810732
162;0.5922811
163;0.6070963
164;0.4557321
165;0.4652521
166;0.40711
167;0.4355059
168;0.3304876
169;0.6452445
170;0.734066
171;0.5126439
172;0.3640623
173;0.294796
174;0.3203954
175;0.2934954
176;0.2486964
177;0.2898464
178;0.2713392
179;0.3290034
180;0.3425704
181;0.2854114
182;0.3309589
183;0.6701703
184;0.8225413
185;0.6010256
186;0.6075284
187;0.6249035
188;0.5067306
189;0.4490476
190;0.4008522
191;0.4044264
192;0.3343647
193;0.6195876
194;0.7117707
195;0.4793701
196;0.3377012
197;0.3198506
198;0.3199497
199;0.2780098
200;0.2383418
201;0.2668847
202;0.289216
203;0.274638
204;0.2952023
205;0.3191654
206;0.3799296
207;0.6490772
208;0.6865725
209;0.5333006
210;0.5691732
211;0.5553164
212;0.4218695
213;0.3870067
214;0.3788568
215;0.3768102
216;0.3707068
217;0.4482115
218;0.4007082
219;0.3304264
220;0.4556864
221;0.5438815
222;0.380035
223;0.3100628
224;0.3609895
225;0.4232214
226;0.3608037
227;0.4494146
228;0.5117792
229;0.5325586
230;0.5536741
231;0.6426653
232;0.6157822
233;0.5215895
234;0.7259508
235;0.6351462
236;0.4932644
237;0.4064582
238;0.3549565
239;0.3064005
240;0.3164408
241;0.4439927
242;0.4053019
243;0.4010149
244;0.515463
245;0.5417443
246;0.3888941
247;0.2937058
248;0.3004476
249;0.4113848
250;0.3595985
251;0.4596604
252;0.5667981
253;0.549921
254;0.5748395
255;0.7091339
256;0.657871
257;0.5412569
258;0.6893778
259;0.6072669
260;0.4838479
261;0.3927208
262;0.3484073
263;0.2741122
264;0.2889134
265;0.6024214
266;0.7849312
267;0.5650677
268;0.4244575
269;0.28929
270;0.3125217
271;0.3032954
272;0.245328
273;0.2785124
274;0.263969
275;0.2657444
276;0.3057163
277;0.2705772
278;0.3187892
279;0.5461307
280;0.7182576
281;0.5184965
282;0.567381
283;0.5952214
284;0.4580454
285;0.4133931
286;0.3475801
287;0.391291
288;0.3165207
289;0.5655279
290;0.6390927
291;0.4518607
292;0.3911865
293;0.3525676
294;0.273608
295;0.2866576
296;0.2403661
297;0.253866
298;0.2779344
299;0.3242347
300;0.3279341
301;0.346961
302;0.3221245
303;0.5716377
304;0.6663132
305;0.5093918
306;0.567744
307;0.5963064
308;0.4568492
309;0.3925462
310;0.3398006
311;0.3356597
312;0.3163325
313;0.5798436
314;0.6746642
315;0.5383252
316;0.3802523
317;0.3266388
318;0.2965835
319;0.2504192
320;0.2380571
321;0.2571921
322;0.2671957
323;0.2955689
324;0.3394369
325;0.3102895
326;0.335868
327;0.6107444
328;0.7033133
329;0.5114828
330;0.5166982
331;0.5401942
332;0.4348182
333;0.3701063
334;0.3045223
335;0.3267367
336;0.2613929
337;0.5875166
338;0.6668
339;0.5522967
340;0.3925005
341;0.2902017
342;0.3110221
343;0.2654831
344;0.2441163
345;0.2500636
346;0.2437519
347;0.2902381
348;0.3193558
349;0.2825329
350;0.3662609
351;0.5818789
352;0.6768914
353;0.527478
354;0.5898573
355;0.5945751
356;0.4582861
357;0.4228385
358;0.3291375
359;0.3626542
360;0.2803744
361;0.5886587
362;0.7180983
363;0.5502272
364;0.3778795
365;0.3088457
366;0.336058
367;0.2685195
368;0.2728753
369;0.2576996
370;0.2814476
371;0.3357051
372;0.377768
373;0.3758548
374;0.4198217
375;0.6394334
376;0.7654087
377;0.5626817
378;0.5813588
379;0.6194467
380;0.4536096
381;0.3445003
382;0.3131644
383;0.3773315
384;0.3516702
385;0.4630256
386;0.3928607
387;0.3731164
388;0.5522979
389;0.6508671
390;0.4571698
391;0.3447596
392;0.396359
393;0.4629686
394;0.4596319
395;0.4744805
396;0.5430864
397;0.5249392
398;0.6152666
399;0.6768094
400;0.7056796
401;0.5778124
402;0.7821281
403;0.5961783
404;0.5158893
405;0.4004181
406;0.3549882
407;0.2934549
408;0.30837
409;0.4490289
410;0.3927853
411;0.3892595
412;0.5272997
413;0.6082149
414;0.4274186
415;0.2997191
416;0.3277271
417;0.4373802
418;0.4030028
419;0.4720229
420;0.5469101
421;0.5119166
422;0.6558807
423;0.7070913
424;0.6778417
425;0.5811547
426;0.7666996
427;0.6592076
428;0.5094523
429;0.4102726
430;0.3681231
431;0.2983542
432;0.316685
433;0.597318
434;0.8016897
435;0.6540743
436;0.4213716
437;0.3174127
438;0.3269193
439;0.2977018
