hodina;relativní odbìr
1;0.63882
2;0.77553
3;0.82333
4;0.64733
5;0.55808
6;0.39605
7;0.32037
8;0.25252
9;0.26771
10;0.37145
11;0.53566
12;0.53774
13;0.68231
14;0.8411
15;0.77409
16;0.81972
17;0.81253
18;0.69181
19;0.58322
20;0.49846
21;0.48997
22;0.52806
23;0.57039
24;0.75699
25;0.64342
26;0.65774
27;0.69144
28;0.6589
29;0.62099
30;0.39928
31;0.34122
32;0.30986
33;0.31395
34;0.43098
35;0.52935
36;0.63668
37;0.78707
38;0.94981
39;0.77186
40;0.89581
41;0.88542
42;0.73269
43;0.59343
44;0.48446
45;0.46904
46;0.49682
47;0.57649
48;0.77522
49;0.6136
50;0.70598
51;0.70632
52;0.60612
53;0.47362
54;0.38463
55;0.32692
56;0.29538
57;0.32332
58;0.45949
59;0.55444
60;0.61173
61;0.76635
62;0.95088
63;0.81274
64;0.9203
65;0.96889
66;0.72069
67;0.6451
68;0.56184
69;0.49971
70;0.56333
71;0.59841
72;0.84618
73;0.79277
74;0.85064
75;0.75444
76;0.66258
77;0.49025
78;0.38725
79;0.37695
80;0.3017
81;0.31076
82;0.31915
83;0.34846
84;0.48395
85;0.51905
86;0.75113
87;0.70555
88;0.58977
89;0.60589
90;0.51639
91;0.51844
92;0.49668
93;0.473
94;0.47211
95;0.72401
96;0.81291
97;0.73841
98;0.83931
99;0.71369
100;0.57634
101;0.40531
102;0.35083
103;0.40373
104;0.30045
105;0.30012
106;0.37497
107;0.41738
108;0.50447
109;0.58895
110;0.69672
111;0.66922
112;0.57648
113;0.60101
114;0.5356
115;0.55478
116;0.49052
117;0.49002
118;0.46616
119;0.69131
120;0.8645
121;0.7694
122;0.84491
123;0.74502
124;0.52336
125;0.47185
126;0.37235
127;0.37346
128;0.31091
129;0.30529
130;0.33927
131;0.38744
132;0.48678
133;0.6444
134;0.72304
135;0.71929
136;0.60261
137;0.58086
138;0.55467
139;0.52026
140;0.51978
141;0.4806
142;0.48185
143;0.72133
144;0.80757
145;0.78384
146;0.8725
147;0.76097
148;0.59462
149;0.40965
150;0.36321
151;0.37965
152;0.29663
153;0.32166
154;0.36766
155;0.47002
156;0.52114
157;0.62789
158;0.70289
159;0.6847
160;0.60262
161;0.65207
162;0.56009
163;0.50982
164;0.48889
165;0.45742
166;0.46926
167;0.74819
168;0.86767
169;0.76311
170;0.80298
171;0.6736
172;0.5525
173;0.43819
174;0.39598
175;0.39149
176;0.31823
177;0.30476
178;0.28157
179;0.40177
180;0.53498
181;0.69396
182;0.82691
183;0.78417
184;0.6626
185;0.61938
186;0.54154
187;0.50247
188;0.50012
189;0.45912
190;0.5019
191;0.7725
192;0.91573
193;0.56528
194;0.64802
195;0.77972
196;0.68575
197;0.59506
198;0.38107
199;0.36177
200;0.32684
201;0.34396
202;0.4198
203;0.53754
204;0.5545
205;0.71146
206;0.87579
207;0.87353
208;0.95235
209;0.89556
210;0.68197
211;0.63305
212;0.47422
213;0.43163
214;0.52211
215;0.55385
216;0.73408
217;0.55492
218;0.5958
219;0.63296
220;0.6188
221;0.49914
222;0.36682
223;0.31601
224;0.28377
225;0.37828
226;0.49348
227;0.62786
228;0.59341
229;0.67817
230;0.88396
231;0.75389
232;0.88672
233;0.92273
234;0.73593
235;0.6178
236;0.58066
237;0.50738
238;0.54744
239;0.56599
240;0.75681
241;0.72054
242;0.83181
243;0.78128
244;0.58361
245;0.49155
246;0.40773
247;0.3817
248;0.28332
249;0.28853
250;0.29624
251;0.39269
252;0.46581
253;0.55495
254;0.70976
255;0.74266
256;0.61591
257;0.56384
258;0.44358
259;0.46277
260;0.47306
261;0.415
262;0.47501
263;0.689
264;0.77797
265;0.67893
266;0.74883
267;0.61317
268;0.53411
269;0.36907
270;0.33912
271;0.40952
272;0.30395
273;0.31247
274;0.36518
275;0.41494
276;0.51189
277;0.61142
278;0.75482
279;0.75369
280;0.67062
281;0.63284
282;0.49675
283;0.5141
284;0.52069
285;0.44071
286;0.43902
287;0.67651
288;0.78834
289;0.71325
290;0.82107
291;0.74147
292;0.58511
293;0.38418
294;0.33694
295;0.36846
296;0.30835
297;0.30345
298;0.31917
299;0.39219
300;0.47567
301;0.61566
302;0.70828
303;0.71326
304;0.65468
305;0.60791
306;0.47549
307;0.49838
308;0.4935
309;0.47383
310;0.44553
311;0.66607
312;0.80157
313;0.7136
314;0.81433
315;0.78696
316;0.62016
317;0.43227
318;0.35799
319;0.3831
320;0.30864
321;0.29501
322;0.31897
323;0.38304
324;0.49353
