hodina;relativní odbìr
1;0.632353
2;0.7463577
3;0.8265773
4;0.6782129
5;0.51221
6;0.4151382
7;0.3076042
8;0.2658364
9;0.2806628
10;0.3346666
11;0.4371711
12;0.4669649
13;0.6552729
14;0.8993787
15;0.8368379
16;0.8066812
17;0.6905598
18;0.578208
19;0.4835249
20;0.4568657
21;0.4338652
22;0.4482783
23;0.5276109
24;0.7501777
25;0.6850324
26;0.7296395
27;0.4830306
28;0.3921923
29;0.3773397
30;0.2990803
31;0.3321715
32;0.259119
33;0.2666388
34;0.3004583
35;0.3949581
36;0.5174801
37;0.6121767
38;0.7048654
39;0.7603487
40;0.6028655
41;0.5509551
42;0.5106984
43;0.4939757
44;0.4569278
45;0.4285512
46;0.4475772
47;0.6711345
48;0.7983219
49;0.5334998
50;0.6043642
51;0.6238769
52;0.4992816
53;0.3699771
54;0.3246956
55;0.2988484
56;0.3047521
57;0.2825275
58;0.3773592
59;0.5749826
60;0.5564294
61;0.8165657
62;0.9790604
63;0.8389862
64;0.8572947
65;0.7698939
66;0.6476974
67;0.5136053
68;0.4773311
69;0.4467355
70;0.46663
71;0.5749434
72;0.7670742
73;0.5527833
74;0.5810283
75;0.5718652
76;0.437585
77;0.4264361
78;0.3016872
79;0.2727254
80;0.2604433
81;0.3130298
82;0.4649873
83;0.594405
84;0.6339636
85;0.8028042
86;0.9288704
87;0.7781721
88;0.8248597
89;0.8000436
90;0.6520962
91;0.5499646
92;0.5049043
93;0.4788483
94;0.5167602
95;0.543223
96;0.7803224
97;0.7459843
98;0.7229989
99;0.5182853
100;0.389029
101;0.3934818
102;0.3583787
103;0.3380381
104;0.2698996
105;0.2561757
106;0.278459
107;0.3448183
108;0.4475598
109;0.5916364
110;0.6863955
111;0.7279134
112;0.5917133
113;0.5445598
114;0.4672945
115;0.4848075
116;0.5075909
117;0.460043
118;0.426421
119;0.6249988
120;0.7380596
121;0.6706234
122;0.7420701
123;0.5802872
124;0.4750159
125;0.3137335
126;0.3248709
127;0.3392761
128;0.2872194
129;0.273246
130;0.2759642
131;0.3608641
132;0.4616706
133;0.5978913
134;0.7258398
135;0.753031
136;0.5921312
137;0.5177897
138;0.4724352
139;0.471081
140;0.4366971
141;0.4478837
142;0.440632
143;0.671958
144;0.7612541
145;0.7460553
146;0.8269068
147;0.5695228
148;0.4231108
149;0.3592678
150;0.324348
151;0.351269
152;0.2947083
153;0.2616631
154;0.2845111
155;0.3428286
156;0.5122064
157;0.5864134
158;0.6888567
159;0.7379486
160;0.5891615
161;0.5099491
162;0.4741263
163;0.4949526
164;0.4674819
165;0.4632715
166;0.440237
167;0.630922
168;0.7626221
169;0.7210066
170;0.7735599
171;0.6238981
172;0.4177989
173;0.3549267
174;0.3215534
175;0.3550322
176;0.2844592
177;0.2767776
178;0.3053943
179;0.3640948
180;0.4526299
181;0.6278875
182;0.7027185
183;0.7263579
184;0.5876957
185;0.5393908
186;0.5019801
187;0.4892925
188;0.4619418
189;0.3992134
190;0.4087939
191;0.6343032
192;0.8024451
193;0.6995131
194;0.7456802
195;0.6480956
196;0.5269839
197;0.3623846
198;0.3360875
199;0.3229615
200;0.25305
201;0.2509227
202;0.258744
203;0.3489509
204;0.4649932
205;0.5495605
206;0.6808109
207;0.7345367
208;0.5403724
209;0.5005057
210;0.4420274
211;0.4123809
212;0.4193602
213;0.3744152
214;0.392348
215;0.5919528
216;0.7246244
217;0.453421
218;0.5367138
219;0.5830671
220;0.5304834
221;0.3833378
222;0.2834136
223;0.2990747
224;0.2621521
225;0.2683739
226;0.3366441
227;0.422201
228;0.4710311
229;0.6282372
230;0.8010959
231;0.6736457
232;0.6919793
233;0.6550482
234;0.5466552
235;0.429223
236;0.3779416
237;0.3365675
238;0.3960284
239;0.4649454
240;0.6244071
241;0.5022919
242;0.5773554
243;0.6628011
244;0.5179528
245;0.3763544
246;0.3114708
247;0.2710756
248;0.2614753
249;0.2850589
250;0.3572679
251;0.4713038
252;0.507193
253;0.6198411
254;0.7826253
255;0.6923311
256;0.7174168
257;0.671242
258;0.5158272
259;0.4672809
260;0.4319099
261;0.3733856
262;0.4021339
263;0.4488005
264;0.60281
265;0.5813525
266;0.6880635
267;0.5567639
268;0.4135279
269;0.3663676
270;0.3328376
271;0.3164481
272;0.2401586
273;0.2289121
274;0.26225
275;0.3229445
276;0.3833684
277;0.4779422
278;0.6195278
279;0.649373
280;0.4822207
281;0.4306509
282;0.3967716
283;0.4100788
284;0.381133
285;0.3489914
286;0.3433157
287;0.5640461
288;0.6590129
289;0.6261826
290;0.6834775
291;0.5924915
292;0.4729489
293;0.3926045
294;0.2985619
295;0.3139225
296;0.2495795
297;0.226374
298;0.2454839
299;0.3068484
300;0.3712347
301;0.4493019
302;0.5806636
303;0.6880666
304;0.4999555
305;0.4270836
306;0.4176369
307;0.3789324
308;0.3688016
309;0.3436047
310;0.3482544
311;0.5137489
312;0.6298539
313;0.611244
314;0.6986318
315;0.6521191
316;0.4737884
317;0.3801792
318;0.2968257
319;0.3019405
320;0.245721
321;0.2231181
322;0.2391858
323;0.2906566
324;0.375195
325;0.5056886
326;0.6357115
327;0.6231641
328;0.5000509
329;0.4439185
330;0.3991223
331;0.3851807
332;0.3903043
333;0.3377444
334;0.3532283
335;0.5242919
336;0.6542452
337;0.642321
338;0.7156762
339;0.6695616
340;0.5833418
341;0.4323043
342;0.3091821
343;0.3072119
344;0.2512464
345;0.2374462
346;0.2729093
347;0.3386807
348;0.3677115
349;0.5081784
350;0.6156473
351;0.6833708
352;0.5422291
353;0.475756
354;0.3984605
355;0.4121168
356;0.3784889
357;0.3579596
358;0.3566821
359;0.5542391
360;0.6786388
361;0.6238463
362;0.6632262
363;0.6026966
364;0.5181254
365;0.3986312
366;0.3227359
367;0.3408563
368;0.2364076
369;0.2470968
370;0.2470511
371;0.3386691
372;0.3967643
373;0.5024668
374;0.6750777
375;0.7593743
376;0.5373075
377;0.5039219
378;0.4256563
379;0.4450305
380;0.4091191
381;0.3814534
382;0.3549317
383;0.5546317
384;0.6727714
385;0.5256349
386;0.6005
387;0.6962529
388;0.660409
389;0.5099644
390;0.3369023
391;0.2890729
392;0.2665776
393;0.2808193
394;0.3705277
395;0.4741769
396;0.5505179
397;0.6341912
398;0.8208369
399;0.6701667
400;0.7741638
401;0.697757
402;0.5667525
403;0.4972644
404;0.4012013
405;0.3570757
406;0.4244204
407;0.4979037
408;0.6714264
409;0.5339347
410;0.6321281
411;0.7056277
412;0.6168857
413;0.4733593
414;0.3228312
415;0.3357084
416;0.2680843
417;0.3084053
418;0.3914689
419;0.4811682
420;0.4986538
421;0.6451743
422;0.8450994
423;0.7215834
424;0.7148069
425;0.7029997
426;0.54348
427;0.4609889
428;0.4124835
429;0.3955517
430;0.4423583
431;0.4976214
432;0.6474174
433;0.6410758
434;0.7201026
435;0.6476606
436;0.5683892
437;0.4356117
438;0.3536123
439;0.3631885
440;0.2575874
441;0.2336376
442;0.2806529
443;0.339662
444;0.4125556
445;0.5179215
446;0.6333904
447;0.6616015
448;0.5203015
449;0.4846778
450;0.4343042
451;0.4466177
452;0.4056509
453;0.3951247
454;0.3944286
455;0.5863374
456;0.6939893
457;0.638399
458;0.7277664
459;0.7127491
460;0.5697311
461;0.3870415
462;0.3422257
463;0.3458785
464;0.2531792
465;0.236227
466;0.2693952
467;0.3450573
468;0.3997368
469;0.5092467
470;0.6378798
471;0.6785614
472;0.5238392
473;0.4914544
474;0.4204363
475;0.4080902
476;0.3996707
477;0.3774138
478;0.372449
479;0.5463415
480;0.6805719
481;0.6525429
482;0.7500117
483;0.6810976
484;0.5747422
485;0.4128594
486;0.3038512
487;0.3158737
488;0.2665993
489;0.2579684
490;0.2618717
491;0.3459253
492;0.4454406
493;0.4758238
494;0.5980956
495;0.7161042
496;0.5741832
497;0.5270025
498;0.4421625
499;0.4360044
500;0.4138636
501;0.3603922
502;0.3713631
503;0.5429378
504;0.6555177
505;0.6397064
506;0.7107703
507;0.647237
508;0.5637093
509;0.4086037
510;0.3261038
511;0.3275893
512;0.2385865
513;0.2611315
514;0.2613745
515;0.3641397
516;0.3925989
517;0.5015773
518;0.6083228
519;0.6735753
520;0.5146017
521;0.4880111
522;0.4452008
523;0.4243936
524;0.3933744
525;0.3855822
526;0.3768744
527;0.5737625
528;0.6855906
529;0.6669466
530;0.7615344
531;0.6712408
532;0.5538083
533;0.4206975
534;0.3113154
535;0.3142455
536;0.2485067
537;0.2702082
538;0.2924478
539;0.3689365
540;0.4262694
541;0.545998
542;0.6544002
543;0.7014059
544;0.5769604
545;0.5167936
546;0.4160767
547;0.4391232
548;0.409083
549;0.3764201
550;0.361962
551;0.5713405
552;0.6970733
553;0.4977711
554;0.5732939
555;0.7028321
556;0.7047577
557;0.5725928
558;0.4141015
559;0.3670479
560;0.3044513
561;0.3122425
562;0.4054117
563;0.4835513
564;0.5590346
565;0.7039677
566;0.8303755
567;0.7488785
568;0.7907972
569;0.6989118
570;0.6272698
571;0.5178565
572;0.3999805
573;0.344948
574;0.4158691
575;0.5188144
576;0.6817295
577;0.5438047
578;0.6134508
