hodina;relativní odbìr
1;0.44358
2;0.58061
3;0.96708
4;0.79832
5;0.60671
6;0.52934
7;0.38468
8;0.3027
9;0.30031
10;0.33223
11;0.45857
12;0.56448
13;0.50185
14;0.67426
15;0.83284
16;0.78552
17;0.63947
18;0.57119
19;0.59449
20;0.63819
21;0.52127
22;0.40844
23;0.39254
24;0.32936
25;0.34584
26;0.53795
27;0.86377
28;0.79848
29;0.67409
30;0.55166
31;0.41813
32;0.36804
33;0.38735
34;0.43894
35;0.47545
36;0.59666
37;0.59409
38;0.80871
39;0.89194
40;0.76276
41;0.7244
42;0.71797
43;0.63316
44;0.62521
45;0.51171
46;0.42619
47;0.39416
48;0.34667
49;0.3711
50;0.57771
51;0.90049
52;0.76342
53;0.64635
54;0.55628
55;0.36476
56;0.31629
57;0.39479
58;0.47207
59;0.57438
60;0.63723
61;0.58344
62;0.76788
63;0.92801
64;0.82459
65;0.70085
66;0.69728
67;0.68476
68;0.67506
69;0.53032
70;0.43488
71;0.38172
72;0.29623
73;0.5118
74;0.96198
75;0.81335
76;0.59308
77;0.60185
78;0.49704
79;0.39067
80;0.2828
81;0.29197
82;0.24688
83;0.27408
84;0.2989
85;0.43636
86;0.47449
87;0.71561
88;0.6867
89;0.74309
90;0.72908
91;0.56557
92;0.43605
93;0.43915
94;0.39758
95;0.44647
96;0.36457
97;0.4579
98;0.91979
99;0.84746
100;0.67514
101;0.57834
102;0.47831
103;0.34637
104;0.28077
105;0.29575
106;0.24915
107;0.35486
108;0.3681
109;0.44789
110;0.47283
111;0.71711
112;0.70865
113;0.68575
114;0.67458
115;0.54106
116;0.43155
117;0.43937
118;0.39881
119;0.47219
120;0.39293
121;0.49222
122;0.97512
123;0.88084
124;0.68749
125;0.60326
126;0.44055
127;0.37926
128;0.2748
129;0.25209
130;0.24238
131;0.30774
132;0.36016
133;0.40526
134;0.47207
135;0.71969
136;0.74122
137;0.64403
138;0.64999
139;0.53805
140;0.4476
141;0.45728
142;0.37586
143;0.47797
144;0.37468
145;0.42992
146;0.9573
147;0.86518
148;0.65913
149;0.58409
150;0.47412
151;0.38234
152;0.29407
153;0.2421
154;0.25168
155;0.31784
156;0.34995
157;0.42687
158;0.54809
159;0.76413
160;0.75524
161;0.73371
162;0.71691
163;0.51572
164;0.43159
165;0.44601
166;0.38764
167;0.47623
168;0.37828
169;0.45555
170;0.92927
171;0.85314
172;0.66369
173;0.58987
174;0.47055
175;0.3302
176;0.28649
177;0.28774
178;0.2533
179;0.26663
180;0.37232
181;0.51945
182;0.55867
183;0.78586
184;0.75804
185;0.72661
186;0.68853
187;0.49997
188;0.4638
189;0.46209
190;0.41948
191;0.47394
192;0.40841
193;0.33713
194;0.54094
195;0.90513
