hodina;relativní odbìr
1;0.4679662
2;0.6250346
3;0.8600534
4;0.7424933
5;0.6483883
6;0.4722105
7;0.3121873
8;0.2893008
9;0.3876602
10;0.4459021
11;0.52039
12;0.5115157
13;0.5016361
14;0.7471843
15;0.7454785
16;0.6671727
17;0.6824338
18;0.6917448
19;0.7179009
20;0.6963648
21;0.5347271
22;0.4111357
23;0.4012357
24;0.326758
25;0.4832874
26;0.936924
27;0.7416541
28;0.5692746
29;0.5223671
30;0.4374869
31;0.3479219
32;0.26318
33;0.2253654
34;0.3107991
35;0.3737279
36;0.4089332
37;0.5123945
38;0.6561908
39;0.8541589
40;0.7789251
41;0.6623779
42;0.6321243
43;0.5276746
44;0.453775
45;0.481706
46;0.4289969
47;0.524749
48;0.3750918
49;0.3641408
50;0.537717
51;0.8958873
52;0.6965241
53;0.6290517
54;0.5123031
55;0.3799213
56;0.3233392
57;0.4107067
58;0.4746832
59;0.5813369
60;0.6662298
61;0.5586235
62;0.7900781
63;0.8019209
64;0.7317873
65;0.6464623
66;0.7313552
67;0.7523697
68;0.7085731
69;0.5491571
70;0.4142615
71;0.4403332
72;0.3662619
73;0.4127476
74;0.5107384
75;0.8115451
76;0.7012568
77;0.5788654
78;0.5003852
79;0.3232143
80;0.2974139
81;0.3611274
82;0.4818078
83;0.6246431
84;0.6628479
85;0.6020702
86;0.8305503
87;0.7869016
88;0.7831977
89;0.7453332
90;0.71998
91;0.721448
92;0.7044356
93;0.6021285
94;0.4241701
95;0.3943937
96;0.3219116
97;0.5113953
98;0.8695352
99;0.7228264
100;0.5834752
101;0.5560916
102;0.5494292
103;0.4081179
104;0.2744539
105;0.2381484
106;0.2298348
107;0.2659955
108;0.2883002
109;0.3953627
110;0.5740898
111;0.743702
112;0.6847346
113;0.6089373
114;0.6406563
115;0.5198054
116;0.4561936
117;0.4879319
118;0.4092862
119;0.4780155
120;0.3754236
121;0.4640492
122;0.8782632
123;0.7271897
124;0.6056341
125;0.5452583
126;0.4625604
127;0.3624633
128;0.2761228
129;0.2416422
130;0.2353694
131;0.3057798
132;0.3358634
133;0.4314544
134;0.554072
135;0.8097188
136;0.7604197
137;0.6281745
138;0.6179613
139;0.5470845
140;0.5052691
141;0.4581535
142;0.3989191
143;0.4883662
144;0.3919317
145;0.4741761
146;0.9095633
147;0.7333938
148;0.5657134
149;0.5530594
150;0.4941934
151;0.3981924
152;0.3001289
153;0.2480084
154;0.2336705
155;0.300936
156;0.3489813
157;0.4451816
158;0.6336962
159;0.8747499
160;0.7740161
161;0.5882813
162;0.5840467
163;0.5469217
164;0.4608546
165;0.445052
166;0.3868735
167;0.4873483
168;0.3827983
169;0.4332672
170;0.9034631
171;0.8002911
172;0.650855
173;0.5604615
174;0.4750259
175;0.3950106
176;0.2737579
177;0.2522933
178;0.2792765
179;0.3385453
180;0.3200515
181;0.447354
182;0.5854774
183;0.8048555
184;0.713616
185;0.5748237
186;0.6273738
187;0.5465813
188;0.4602702
189;0.459257
190;0.4177049
191;0.4952117
192;0.3605314
193;0.4180048
194;0.8329039
195;0.7120238
196;0.5642958
197;0.5369659
198;0.4619941
199;0.3777887
200;0.2607002
201;0.2128914
202;0.2345848
203;0.3090931
204;0.2973842
205;0.4173095
206;0.5721573
207;0.7646904
208;0.7149997
209;0.6213474
210;0.6151454
211;0.4940706
212;0.4066853
213;0.4261259
214;0.3968213
215;0.4556993
216;0.4014288
217;0.3211004
218;0.4949401
219;0.7609756
220;0.6960031
221;0.6202932
222;0.511064
223;0.3793001
224;0.3319351
225;0.4178703
226;0.4391334
227;0.458286
228;0.5500845
229;0.4804233
230;0.7142904
231;0.7201537
232;0.6923298
233;0.6306775
234;0.6648768
235;0.7138931
236;0.6273574
237;0.5162385
238;0.365216
239;0.3276789
240;0.2801108
241;0.35411
242;0.5136005
243;0.7789554
244;0.6804879
245;0.5420803
246;0.4749577
247;0.3156203
248;0.3339552
249;0.485436
250;0.5230517
251;0.5595682
252;0.5630459
253;0.5144023
254;0.7506198
255;0.7675581
256;0.7081659
257;0.5763623
258;0.6372051
259;0.6761543
260;0.65836
261;0.5685599
262;0.4191783
263;0.3656064
264;0.2768514
265;0.4967534
266;0.7975245
267;0.6769395
268;0.5245019
269;0.5133756
270;0.4936103
271;0.3725313
272;0.2505364
273;0.2275383
274;0.2520271
275;0.2835653
276;0.2678231
277;0.3565557
278;0.5449676
279;0.7632205
280;0.6655078
281;0.554298
282;0.5843365
283;0.5239452
284;0.4538823
285;0.4347815
286;0.3763389
287;0.4337039
288;0.3356679
289;0.4072885
290;0.7926618
291;0.7061195
292;0.523075
293;0.5325606
294;0.4747434
295;0.3731584
296;0.2976587
297;0.2338996
298;0.2245036
299;0.2779627
300;0.2808979
301;0.4092393
302;0.5307172
303;0.7870421
304;0.6641951
305;0.5537241
306;0.5549322
307;0.4402732
308;0.408246
309;0.4224565
310;0.3899282
311;0.4265997
