hodina;relativní odbìr
1;0.61521
2;0.52577
3;0.54692
4;0.44966
5;0.51517
6;0.44989
7;0.34205
8;0.27846
9;0.33889
10;0.34097
11;0.41378
12;0.49505
13;0.60381
14;0.63165
15;0.54409
16;0.79198
17;0.82193
18;0.76229
19;0.54497
20;0.49296
21;0.41938
22;0.38035
23;0.51556
24;0.49735
25;0.54185
26;0.42362
27;0.4426
28;0.36529
29;0.46221
30;0.43615
31;0.34013
32;0.28459
33;0.35063
34;0.3565
35;0.46726
36;0.55952
37;0.64848
38;0.69397
39;0.65761
40;0.85034
41;0.83676
42;0.73796
43;0.56199
44;0.45819
45;0.41745
46;0.39949
47;0.58189
48;0.52422
49;0.55912
50;0.46232
51;0.52989
52;0.44211
53;0.50507
54;0.42263
55;0.34083
56;0.27833
57;0.41387
58;0.43388
59;0.44527
60;0.5348
61;0.65536
62;0.64306
63;0.59348
64;0.81076
65;0.79697
66;0.68975
67;0.53647
68;0.50819
69;0.43581
70;0.39956
71;0.55189
72;0.55183
73;0.66729
74;0.68581
75;0.655
76;0.49467
77;0.42505
78;0.31314
79;0.20784
80;0.23424
81;0.20573
82;0.24593
83;0.24084
84;0.31877
85;0.34404
86;0.53519
87;0.7239
88;0.68025
89;0.6732
90;0.59694
91;0.48421
92;0.44965
93;0.52656
94;0.57112
95;0.59216
96;0.70985
97;0.5734
98;0.63037
99;0.50829
100;0.40141
101;0.34495
102;0.28155
103;0.1983
104;0.23356
105;0.23537
106;0.23651
107;0.29116
108;0.30522
109;0.32911
110;0.50261
111;0.72166
112;0.64767
113;0.60546
114;0.53313
115;0.49443
116;0.45032
117;0.51186
118;0.54759
119;0.60527
120;0.73895
121;0.55388
122;0.5706
123;0.51726
124;0.40567
125;0.36732
126;0.26823
127;0.19799
128;0.22914
129;0.21097
130;0.21509
131;0.2967
132;0.31645
133;0.32558
134;0.55056
135;0.68729
136;0.66245
137;0.57737
138;0.5371
139;0.48572
140;0.43139
141;0.54105
142;0.55634
143;0.64551
144;0.75149
145;0.57241
146;0.55279
147;0.46841
148;0.40205
149;0.33859
150;0.2645
151;0.20211
152;0.25918
153;0.29816
154;0.28042
155;0.27386
156;0.28797
157;0.33002
158;0.52955
159;0.73916
160;0.65421
161;0.61515
162;0.55122
163;0.4365
164;0.4228
165;0.49702
166;0.51261
167;0.65422
168;0.80151
169;0.59415
170;0.56988
171;0.46827
172;0.38656
173;0.34257
174;0.28606
175;0.20516
176;0.21487
177;0.22966
178;0.25564
179;0.28288
180;0.31412
181;0.38534
182;0.54365
183;0.78242
184;0.75856
185;0.64132
186;0.53659
187;0.49238
188;0.43832
189;0.50989
190;0.54939
191;0.67602
192;0.80793
193;0.48231
194;0.43192
195;0.43844
196;0.40936
197;0.45339
198;0.38161
199;0.29386
200;0.2908
201;0.3844
202;0.38725
203;0.42371
204;0.55274
205;0.67498
206;0.69981
207;0.60504
208;0.81079
