hodina;relativní odbìr
1;0.6176133
2;0.5673839
3;0.5852086
4;0.4603661
5;0.4878941
6;0.4168359
7;0.337286
8;0.2831212
9;0.3633621
10;0.3424231
11;0.4061812
12;0.5005516
13;0.6228205
14;0.6410858
15;0.5715397
16;0.8193321
17;0.8586965
18;0.7324921
19;0.5548166
20;0.5263372
21;0.4367134
22;0.4052399
23;0.5185365
24;0.4856009
25;0.5623868
26;0.5799099
27;0.4457303
28;0.394857
29;0.3495947
30;0.2353739
31;0.1768879
32;0.2327607
33;0.2596322
34;0.3038196
35;0.343757
36;0.4258603
37;0.4233161
38;0.6500123
39;0.8323731
40;0.791992
41;0.6416994
42;0.5440846
43;0.4689334
44;0.4482745
45;0.4940693
46;0.562091
47;0.6371337
48;0.7470452
49;0.533429
50;0.4677549
51;0.4759987
52;0.3742927
53;0.4626371
54;0.4150382
55;0.3339416
56;0.2923086
57;0.345903
58;0.3550441
59;0.4678042
60;0.5448282
61;0.6473428
62;0.7128394
63;0.6633176
64;0.8505379
65;0.8330939
66;0.6854851
67;0.5517901
68;0.4639782
69;0.4192883
70;0.3982154
71;0.5596394
72;0.4782667
73;0.541974
74;0.5063337
75;0.5618352
76;0.4449542
77;0.4878266
78;0.3792081
79;0.341566
80;0.2805005
81;0.4367114
82;0.4306962
83;0.4443655
84;0.5302476
85;0.6570788
86;0.6496308
87;0.6127247
88;0.8139864
89;0.7984134
90;0.6417315
91;0.5284224
92;0.5133891
93;0.4363484
94;0.4014735
95;0.5368222
96;0.5229174
97;0.6768123
98;0.6868764
99;0.6375078
100;0.4429477
101;0.393278
102;0.300214
103;0.2089471
104;0.2364583
105;0.2086654
106;0.2474356
107;0.2442299
108;0.3174862
109;0.3536529
110;0.5289882
111;0.7321164
112;0.7109876
113;0.6427342
114;0.5527205
115;0.4724309
116;0.4422386
117;0.5106766
118;0.5517879
119;0.557432
120;0.7099579
121;0.597597
122;0.6367285
123;0.4675489
124;0.3625348
125;0.3318813
126;0.2759694
127;0.1993746
128;0.2422329
129;0.2401061
130;0.23715
131;0.2938912
132;0.3019692
133;0.3289837
134;0.5033438
135;0.7615377
136;0.6826015
137;0.5950702
138;0.5018804
139;0.4988756
